configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
E3-LS-p020,11.06,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.027023,0,0,0,0,1
E3-LS-p020,11.3471,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.008741,0,0,0,0,1
E3-LS-p020,11.5304,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.068783,0,0,0,0,1
E3-LS-p020,11.8236,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.088532,0,0,0,0,1
E3-LS-p020,12.0273,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.073912,0,0,0,0,1
E3-LS-p020,12.0348,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.111523,0,0,0,0,1
E3-LS-p020,12.5044,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.029336,0,0,0,0,1
E3-LS-p020,12.8287,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.085978,0,0,0,0,1
E3-LS-p020,13.06,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.035959,0,0,0,0,1
E3-LS-p020,13.1394,12,115,ExactBaseline,1,1,0.00240311,0.693147,1.60944,3,0.059365,0,0,0,0,0.995419
E3-LS-p020,13.3471,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.011106,0,0,0,0,1
E3-LS-p020,13.3654,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.066992,0,0,0,0,1
E3-LS-p020,13.3911,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.106322,0,0,0,0,1
E3-LS-p020,13.5304,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.074997,0,0,0,0,1
E3-LS-p020,13.7018,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.00888,0,0,0,0,1
E3-LS-p020,13.8236,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.106784,0,0,0,0,1
E3-LS-p020,14.0191,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.011671,0,0,0,0,1
E3-LS-p020,14.0273,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.100809,0,0,0,0,1
E3-LS-p020,14.0348,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.116513,0,0,0,0,1
E3-LS-p020,14.4809,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.123234,0,0,0,0,1
E3-LS-p020,14.5044,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.055095,0,0,0,0,1
E3-LS-p020,14.6026,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.113366,0,0,0,0,1
E3-LS-p020,14.7076,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.105584,0,0,0,0,1
E3-LS-p020,14.8131,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.01169,0,0,0,0,1
E3-LS-p020,14.8149,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.136284,0,0,0,0,1
E3-LS-p020,14.8287,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.090166,0,0,0,0,1
E3-LS-p020,15.0587,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.176728,0,0,0,0,1
E3-LS-p020,15.06,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.06155,0,0,0,0,1
E3-LS-p020,15.0602,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.055352,0,0,0,0,1
E3-LS-p020,15.1394,12,32,ExactBaseline,1,1,0.00195071,0.693147,1.60944,3,0.074271,0,0,0,0,0.990837
E3-LS-p020,15.3471,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.009416,0,0,0,0,1
E3-LS-p020,15.3654,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.113332,0,0,0,0,1
E3-LS-p020,15.3911,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.207986,0,0,0,0,1
E3-LS-p020,15.416,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.130054,0,0,0,0,1
E3-LS-p020,15.5304,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.125595,0,0,0,0,1
E3-LS-p020,15.7018,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.012477,0,0,0,0,1
E3-LS-p020,15.7398,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.365696,0,0,0,0,1
E3-LS-p020,15.8236,5,28,ExactBaseline,1,1,0.00238734,0.387766,1.60944,3,0.126534,0,0,0,0,0.993892
E3-LS-p020,15.8562,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.110128,0,0,0,0,1
E3-LS-p020,16.0119,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.030534,0,0,0,0,1
E3-LS-p020,16.0153,21,133,ExactBaseline,1,1,0.00313199,1.38629,1.60944,4,0.201671,0,0,0,0,0.998884
E3-LS-p020,16.0171,-1,-1,ExactBaseline,0,0,0,0,1.60944,0,0.026219,0,0,0,0,1
