configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
CMDP-PostCheck,11.06,3,86,PostCheck,1,0,0.0107658,5.0168,2.30259,11,0.155403,0,0,0,0,1.01357
CMDP-PostCheck,11.3471,1,49,PostCheck,0,0,0.00355722,2.46721,2.30259,5,0.112358,0,0,0,0,1
CMDP-PostCheck,11.5304,0,68,PostCheck,0,0,0.0226016,12.6414,2.30259,21,0.384629,0,0,0,0,1
CMDP-PostCheck,11.8236,5,103,PostCheck,0,0,0.0225984,12.6414,2.30259,21,0.338036,0,0,0,0,1
CMDP-PostCheck,12.0273,2,61,PostCheck,0,0,0.0226176,12.6414,2.30259,21,0.483187,0,0,0,0,1
CMDP-PostCheck,12.0348,4,68,PostCheck,0,0,0.0225805,12.6414,2.30259,21,0.307759,0,0,0,0,1
CMDP-PostCheck,12.5044,6,101,PostCheck,0,0,0.0226285,12.0307,2.30259,21,0.271866,0,0,0,0,1
CMDP-PostCheck,12.8287,9,113,PostCheck,0,0,0.0178505,9.86883,2.30259,17,0.369388,0,0,0,0,1
CMDP-PostCheck,13.06,3,117,PostCheck,0,0,0.0226241,12.0307,2.30259,21,0.201942,0,0,0,0,1.01357
CMDP-PostCheck,13.1394,12,74,PostCheck,0,0,0.00947329,5.62756,2.30259,10,0.192664,0,0,0,0,1
CMDP-PostCheck,13.3471,1,49,PostCheck,0,0,0.00356006,2.46721,2.30259,5,0.037978,0,0,0,0,1
CMDP-PostCheck,13.3654,7,113,PostCheck,0,0,0.0214136,11.9483,2.30259,20,0.374448,0,0,0,0,1
CMDP-PostCheck,13.3911,8,90,PostCheck,0,0,0.0225729,12.6414,2.30259,21,0.400081,0,0,0,0,1
CMDP-PostCheck,13.5304,0,90,PostCheck,0,0,0.022594,12.6414,2.30259,21,0.239697,0,0,0,0,1
CMDP-PostCheck,13.7018,11,54,PostCheck,0,0,0.00118494,1.38629,2.30259,3,0.071512,0,0,0,0,1
CMDP-PostCheck,13.8236,5,56,PostCheck,0,0,0.0225819,12.6414,2.30259,21,0.20914,0,0,0,0,1
CMDP-PostCheck,14.0191,10,49,PostCheck,0,0,0.00356214,2.46721,2.30259,5,0.044149,0,0,0,0,1
CMDP-PostCheck,14.0273,2,28,PostCheck,0,0,0.0225712,12.6414,2.30259,21,0.477865,0,0,0,0,1
CMDP-PostCheck,14.0348,4,103,PostCheck,0,0,0.0225843,12.6414,2.30259,21,0.225571,0,0,0,0,1
CMDP-PostCheck,14.4809,18,139,PostCheck,0,0,0.0226014,12.336,2.30259,21,0.435975,0,0,0,0,1
CMDP-PostCheck,14.5044,6,15,PostCheck,1,0,0.01198,5.40456,2.30259,12,0.133738,0,0,0,0,1.01551
CMDP-PostCheck,14.6026,13,129,PostCheck,0,0,0.0225483,12.9468,2.30259,21,0.321226,0,0,0,0,1
CMDP-PostCheck,14.7076,15,113,PostCheck,0,0,0.0107372,5.70995,2.30259,11,0.578961,0,0,0,0,1
CMDP-PostCheck,14.8131,14,132,PostCheck,0,0,0.00118489,1.38629,2.30259,3,0.110175,0,0,0,0,1
CMDP-PostCheck,14.8149,16,150,PostCheck,0,0,0.019035,10.562,2.30259,18,0.31163,0,0,0,0,1
CMDP-PostCheck,14.8287,9,113,PostCheck,0,0,0.0225871,12.6414,2.30259,21,0.258204,0,0,0,0,1
CMDP-PostCheck,15.0587,20,43,PostCheck,0,0,0.0225068,12.9468,2.30259,21,0.45498,0,0,0,0,1
CMDP-PostCheck,15.06,3,51,PostCheck,1,0,0.0131458,6.09771,2.30259,13,0.222147,0,0,0,0,1.03255
CMDP-PostCheck,15.0602,19,88,PostCheck,0,0,0.0189706,10.785,2.30259,17,0.26795,0,0,0,0,1
CMDP-PostCheck,15.1394,12,88,PostCheck,0,0,0.0177871,10.4796,2.30259,17,0.143444,0,0,0,0,1
CMDP-PostCheck,15.3471,1,49,PostCheck,0,0,0.00356629,2.46721,2.30259,5,0.076963,0,0,0,0,1
CMDP-PostCheck,15.3654,7,113,PostCheck,0,0,0.0154975,8.48253,2.30259,15,0.194466,0,0,0,0,1
CMDP-PostCheck,15.3911,8,154,PostCheck,0,0,0.0225621,13.2522,2.30259,21,0.23895,0,0,0,0,1
