configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
Ch6-OV-G4-GNN-Full,11.06,3,86,RLPolicy,1,0,0.00602545,2.54959,2.30259,7,4.62864,34,40,3.91135,45,1.00124
Ch6-OV-G4-GNN-Full,11.3471,1,71,RLPolicy,0,0,0.00356715,2.46721,2.30259,5,0.906462,6,10,0.757615,4,1
Ch6-OV-G4-GNN-Full,11.5304,0,90,RLPolicy,0,0,0.0226667,12.9468,2.30259,21,1.76757,151,171,0.893856,56,1
Ch6-OV-G4-GNN-Full,11.8236,5,90,RLPolicy,0,0,0.0227675,12.9468,2.30259,21,1.32642,164,184,0.878946,1,1
Ch6-OV-G4-GNN-Full,12.0273,2,90,RLPolicy,0,0,0.0227726,12.9468,2.30259,21,1.77793,173,193,1.22917,60,1
Ch6-OV-G4-GNN-Full,12.0348,4,90,RLPolicy,0,0,0.0226957,12.9468,2.30259,21,2.65581,173,193,1.91696,5,1
Ch6-OV-G4-GNN-Full,12.5044,6,117,RLPolicy,0,0,0.0227093,12.6414,2.30259,21,2.03727,135,155,1.56333,30,1
Ch6-OV-G4-GNN-Full,12.8287,9,76,RLPolicy,1,1,0.00360464,2.07944,2.30259,5,1.86197,43,48,1.38151,71,0.998884
Ch6-OV-G4-GNN-Full,13.06,3,86,RLPolicy,1,0,0.00487223,2.46721,2.30259,6,1.62637,39,44,1.11521,71,1.00206
Ch6-OV-G4-GNN-Full,13.1394,12,32,RLPolicy,1,1,0.00120205,0.693147,2.30259,3,2.2656,0,22,1.95394,71,0.991953
Ch6-OV-G4-GNN-Full,13.3471,1,71,RLPolicy,0,0,0.00357787,2.46721,2.30259,5,1.39097,6,10,1.26137,73,1
Ch6-OV-G4-GNN-Full,13.3654,7,43,RLPolicy,0,0,0.0226873,13.0061,2.30259,21,1.83,221,241,1.29286,33,1
Ch6-OV-G4-GNN-Full,13.3911,8,47,RLPolicy,0,0,0.0227355,12.6414,2.30259,21,1.73116,194,214,1.18543,6,1
Ch6-OV-G4-GNN-Full,13.5304,0,90,RLPolicy,0,0,0.0227099,12.9468,2.30259,21,1.63513,199,219,1.21913,80,1
Ch6-OV-G4-GNN-Full,13.7018,11,54,RLPolicy,0,0,0.00118494,1.38629,2.30259,3,1.55614,1,3,1.43083,34,1
Ch6-OV-G4-GNN-Full,13.8236,5,100,RLPolicy,0,0,0.0227818,12.9468,2.30259,21,1.54668,196,216,1.12092,2,1
Ch6-OV-G4-GNN-Full,14.0191,10,71,RLPolicy,0,0,0.00360651,2.46721,2.30259,5,1.62004,6,10,1.50217,85,1
Ch6-OV-G4-GNN-Full,14.0273,2,90,RLPolicy,0,0,0.0227768,12.9468,2.30259,21,1.58626,229,249,1.16666,3,1
