configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
Ch6-OV-Exact-Full,10.5722,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.006985,0,0,0,0,1
Ch6-OV-Exact-Full,10.8935,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.062841,0,0,0,0,1
Ch6-OV-Exact-Full,11.1491,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.024634,0,0,0,0,1
Ch6-OV-Exact-Full,11.3331,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.085694,0,0,0,0,1
Ch6-OV-Exact-Full,11.5406,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.070983,0,0,0,0,1
Ch6-OV-Exact-Full,12.4666,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.095449,0,0,0,0,1
Ch6-OV-Exact-Full,12.5722,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.01164,0,0,0,0,1
Ch6-OV-Exact-Full,12.8502,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.066728,0,0,0,0,1
Ch6-OV-Exact-Full,12.8935,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.122821,0,0,0,0,1
Ch6-OV-Exact-Full,13.1419,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.115555,0,0,0,0,1
Ch6-OV-Exact-Full,13.1491,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.041618,0,0,0,0,1
Ch6-OV-Exact-Full,13.1675,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.00577,0,0,0,0,1
Ch6-OV-Exact-Full,13.3331,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.128122,0,0,0,0,1
Ch6-OV-Exact-Full,13.3535,6,113,ExactBaseline,1,1,0.00357693,1.08091,2.30259,4,0.05778,0,0,0,0,0.993892
Ch6-OV-Exact-Full,13.5229,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.014506,0,0,0,0,1
Ch6-OV-Exact-Full,13.5406,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.117219,0,0,0,0,1
Ch6-OV-Exact-Full,13.8125,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.17375,0,0,0,0,1
Ch6-OV-Exact-Full,13.8892,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.103693,0,0,0,0,1
Ch6-OV-Exact-Full,13.8921,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.004558,0,0,0,0,1
Ch6-OV-Exact-Full,14.1563,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.126944,0,0,0,0,1
Ch6-OV-Exact-Full,14.2029,13,112,ExactBaseline,1,1,0.00358771,1.38629,2.30259,4,0.085971,0,0,0,0,0.995419
Ch6-OV-Exact-Full,14.3827,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.136883,0,0,0,0,1
Ch6-OV-Exact-Full,14.3899,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.082918,0,0,0,0,1
Ch6-OV-Exact-Full,14.4666,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.162105,0,0,0,0,1
Ch6-OV-Exact-Full,14.5722,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.008259,0,0,0,0,1
Ch6-OV-Exact-Full,14.8502,7,73,ExactBaseline,1,1,0.00482386,2.07944,2.30259,5,0.092671,0,0,0,0,0.998884
Ch6-OV-Exact-Full,14.8935,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.207808,0,0,0,0,1
Ch6-OV-Exact-Full,15.1016,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.173742,0,0,0,0,1
Ch6-OV-Exact-Full,15.1419,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.180272,0,0,0,0,1
Ch6-OV-Exact-Full,15.1419,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.132888,0,0,0,0,1
Ch6-OV-Exact-Full,15.1491,-1,-1,ExactBaseline,0,0,0,0,2.30259,0,0.100824,0,0,0,0,1
