configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
Ch6-OV-LearnedMask-Full,10.1519,0,16,LagrangianGreedy,0,0,0.0167685,8.48253,2.30259,15,0.1807,42,86,0,0,1
Ch6-OV-LearnedMask-Full,10.6993,2,59,LagrangianGreedy,0,0,0.0239248,12.6414,2.30259,21,0.286105,84,129,0,0,1
Ch6-OV-LearnedMask-Full,10.7411,1,49,LagrangianGreedy,0,0,0.00473965,2.46721,2.30259,5,0.024342,0,10,0,0,1
Ch6-OV-LearnedMask-Full,11.4661,3,51,LagrangianGreedy,1,0,0.0143963,5.79233,2.30259,13,0.165796,41,64,0,0,1.01745
Ch6-OV-LearnedMask-Full,11.994,4,46,LagrangianGreedy,0,0,0.0238509,12.6414,2.30259,21,0.444343,127,170,0,0,1
Ch6-OV-LearnedMask-Full,12.1519,0,35,LagrangianGreedy,0,0,0.0239818,12.6414,2.30259,21,0.637612,120,178,0,0,1
Ch6-OV-LearnedMask-Full,12.5313,8,61,LagrangianGreedy,0,0,0.023877,12.6414,2.30259,21,0.471136,120,175,0,0,1
Ch6-OV-LearnedMask-Full,12.6819,6,40,LagrangianGreedy,0,0,0.0238613,13.1291,2.30259,21,0.24663,58,93,0,0,1
Ch6-OV-LearnedMask-Full,12.6993,2,108,LagrangianGreedy,0,0,0.0239711,12.6414,2.30259,21,0.495167,139,196,0,0,1
Ch6-OV-LearnedMask-Full,12.7411,1,49,LagrangianGreedy,0,0,0.00474204,2.46721,2.30259,5,0.027662,0,10,0,0,1
Ch6-OV-LearnedMask-Full,12.832,5,108,LagrangianGreedy,0,0,0.0239203,12.6414,2.30259,21,0.57047,162,202,0,0,1
Ch6-OV-LearnedMask-Full,12.8831,7,70,LagrangianGreedy,0,0,0.0239029,12.6414,2.30259,21,0.39938,103,151,0,0,1
Ch6-OV-LearnedMask-Full,13.4661,3,105,LagrangianGreedy,0,0,0.0237949,12.9468,2.30259,21,0.619906,205,240,0,0,1.01745
Ch6-OV-LearnedMask-Full,13.6011,9,131,LagrangianGreedy,0,0,0.0239417,12.0307,2.30259,21,0.395113,87,144,0,0,1
Ch6-OV-LearnedMask-Full,13.7832,12,106,LagrangianGreedy,0,0,0.0238849,12.6414,2.30259,21,0.470759,131,164,0,0,1
Ch6-OV-LearnedMask-Full,13.9006,15,137,LagrangianGreedy,0,0,0.0238408,12.6414,2.30259,21,0.460152,120,179,0,0,1
Ch6-OV-LearnedMask-Full,13.9121,16,35,LagrangianGreedy,0,0,0.0239217,12.336,2.30259,21,0.494726,141,207,0,0,1
Ch6-OV-LearnedMask-Full,13.994,4,28,LagrangianGreedy,0,0,0.0238853,12.6414,2.30259,21,0.492742,147,189,0,0,1
Ch6-OV-LearnedMask-Full,14.0169,10,49,LagrangianGreedy,0,0,0.00474515,2.46721,2.30259,5,0.032801,0,10,0,0,1
Ch6-OV-LearnedMask-Full,14.1191,14,132,LagrangianGreedy,0,0,0.00236841,1.38629,2.30259,3,0.012467,0,3,0,0,1
Ch6-OV-LearnedMask-Full,14.1519,0,28,LagrangianGreedy,0,0,0.0238846,12.6414,2.30259,21,0.546809,158,202,0,0,1
Ch6-OV-LearnedMask-Full,14.1588,17,62,LagrangianGreedy,0,0,0.0239074,12.336,2.30259,21,0.561962,154,223,0,0,1
Ch6-OV-LearnedMask-Full,14.5313,8,29,LagrangianGreedy,0,0,0.0239371,12.6414,2.30259,21,0.682304,183,249,0,0,1
Ch6-OV-LearnedMask-Full,14.5458,11,143,LagrangianGreedy,0,0,0.00355187,2.07944,2.30259,4,0.018694,0,6,0,0,1
Ch6-OV-LearnedMask-Full,14.6178,13,38,LagrangianGreedy,0,0,0.0239198,12.0307,2.30259,21,0.437368,123,185,0,0,1
Ch6-OV-LearnedMask-Full,14.6819,6,85,LagrangianGreedy,0,0,0.0131779,5.79233,2.30259,12,0.254476,76,104,0,0,1
Ch6-OV-LearnedMask-Full,14.6993,2,29,LagrangianGreedy,0,0,0.0239415,12.6414,2.30259,21,0.652622,191,257,0,0,1
Ch6-OV-LearnedMask-Full,14.7411,1,49,LagrangianGreedy,0,0,0.00474599,2.46721,2.30259,5,0.025936,0,9,0,0,1
Ch6-OV-LearnedMask-Full,14.832,5,150,LagrangianGreedy,0,0,0.0179171,9.48106,2.30259,16,0.639184,162,215,0,0,1
Ch6-OV-LearnedMask-Full,14.8831,7,102,LagrangianGreedy,0,0,0.0238898,12.336,2.30259,21,0.376432,94,154,0,0,1
Ch6-OV-LearnedMask-Full,15.1278,19,22,LagrangianGreedy,1,0,0.0226385,12.1713,2.30259,20,0.385478,93,135,0,0,1.04934
Ch6-OV-LearnedMask-Full,15.1701,18,150,LagrangianGreedy,0,0,0.013223,6.09771,2.30259,12,0.506078,138,183,0,0,1
Ch6-OV-LearnedMask-Full,15.3156,20,102,LagrangianGreedy,1,0,0.0190921,8.8703,2.30259,17,0.553312,135,227,0,0,1.03284
Ch6-OV-LearnedMask-Full,15.4661,3,121,LagrangianGreedy,0,0,0.0143597,6.48548,2.30259,13,0.303698,89,121,0,0,1.01745
Ch6-OV-LearnedMask-Full,15.6011,9,36,LagrangianGreedy,0,0,0.0239367,12.6414,2.30259,21,0.543411,144,209,0,0,1
Ch6-OV-LearnedMask-Full,15.7832,12,121,LagrangianGreedy,0,0,0.0132095,6.40309,2.30259,12,0.42981,90,122,0,0,1
Ch6-OV-LearnedMask-Full,15.8032,25,12,LagrangianGreedy,0,0,0.0239077,12.0307,2.30259,21,0.773577,214,314,0,0,1
Ch6-OV-LearnedMask-Full,15.9006,15,149,LagrangianGreedy,0,0,0.0238794,12.6414,2.30259,21,0.530989,156,221,0,0,1
Ch6-OV-LearnedMask-Full,15.9121,16,150,LagrangianGreedy,0,0,0.0179571,8.8703,2.30259,16,0.589184,166,230,0,0,1
Ch6-OV-LearnedMask-Full,15.994,4,154,LagrangianGreedy,0,0,0.0167121,8.48253,2.30259,15,0.58589,185,227,0,0,1
Ch6-OV-LearnedMask-Full,16.0169,10,71,LagrangianGreedy,0,0,0.00593753,3.16035,2.30259,6,0.034097,1,11,0,0,1
Ch6-OV-LearnedMask-Full,16.0619,21,91,LagrangianGreedy,1,1,0.00240002,0.387766,2.30259,3,0.119976,0,59,0,0,0.990426
Ch6-OV-LearnedMask-Full,16.072,24,66,LagrangianGreedy,0,0,0.0239156,12.6414,2.30259,21,0.394783,118,150,0,0,1
Ch6-OV-LearnedMask-Full,16.1191,14,132,LagrangianGreedy,0,0,0.00236907,1.38629,2.30259,3,0.015691,0,3,0,0,1
Ch6-OV-LearnedMask-Full,16.1519,0,154,LagrangianGreedy,0,0,0.0167243,8.48253,2.30259,15,0.582467,172,216,0,0,1
Ch6-OV-LearnedMask-Full,16.1588,17,150,LagrangianGreedy,0,0,0.0167342,8.48253,2.30259,15,0.555477,139,202,0,0,1
Ch6-OV-LearnedMask-Full,16.1918,23,58,LagrangianGreedy,0,0,0.0238765,13.2522,2.30259,21,0.65763,144,193,0,0,1
Ch6-OV-LearnedMask-Full,16.2129,22,110,LagrangianGreedy,0,0,0.0191037,10.4796,2.30259,17,0.370928,80,132,0,0,1
Ch6-OV-LearnedMask-Full,16.2365,34,13,LagrangianGreedy,0,0,0.0239572,12.336,2.30259,21,0.69274,225,263,0,0,1
Ch6-OV-LearnedMask-Full,16.2721,26,11,LagrangianGreedy,0,0,0.00355346,2.07944,2.30259,4,0.019867,0,6,0,0,1
Ch6-OV-LearnedMask-Full,16.483,27,149,LagrangianGreedy,0,0,0.0238941,12.0307,2.30259,21,0.884415,220,324,0,0,1
Ch6-OV-LearnedMask-Full,16.5313,8,29,LagrangianGreedy,0,0,0.0239524,12.6414,2.30259,21,0.84743,219,304,0,0,1
Ch6-OV-LearnedMask-Full,16.5338,29,144,LagrangianGreedy,0,0,0.0239198,12.336,2.30259,21,0.782535,220,290,0,0,1
Ch6-OV-LearnedMask-Full,16.5458,11,143,LagrangianGreedy,0,0,0.00355193,2.07944,2.30259,4,0.023374,0,6,0,0,1
Ch6-OV-LearnedMask-Full,16.6178,13,146,LagrangianGreedy,0,0,0.00838991,3.93589,2.30259,8,0.201422,29,83,0,0,1
Ch6-OV-LearnedMask-Full,16.6819,6,121,LagrangianGreedy,0,0,0.0191591,9.25806,2.30259,17,0.617913,200,241,0,0,1
Ch6-OV-LearnedMask-Full,16.6973,31,174,LagrangianGreedy,0,0,0.0238573,12.336,2.30259,21,0.772004,231,298,0,0,1
Ch6-OV-LearnedMask-Full,16.6993,2,28,LagrangianGreedy,0,0,0.0239046,12.6414,2.30259,21,0.736195,219,303,0,0,1
Ch6-OV-LearnedMask-Full,16.7411,1,71,LagrangianGreedy,0,0,0.0059394,3.16035,2.30259,6,0.043318,1,11,0,0,1
Ch6-OV-LearnedMask-Full,16.832,5,4,LagrangianGreedy,1,1,0.00478209,1.77406,2.30259,5,0.325586,56,110,0,0,0.997357
Ch6-OV-LearnedMask-Full,16.8831,7,121,LagrangianGreedy,0,0,0.0131572,6.70847,2.30259,12,0.369624,85,147,0,0,1
Ch6-OV-LearnedMask-Full,17.1278,19,104,LagrangianGreedy,0,0,0.0238577,13.5576,2.30259,21,0.482359,116,171,0,0,1.04934
Ch6-OV-LearnedMask-Full,17.1286,37,71,LagrangianGreedy,0,0,0.00595455,3.64806,2.30259,6,0.040663,1,11,0,0,1
Ch6-OV-LearnedMask-Full,17.1316,40,69,LagrangianGreedy,0,0,0.0239702,12.336,2.30259,21,0.770985,261,302,0,0,1
Ch6-OV-LearnedMask-Full,17.1701,18,188,LagrangianGreedy,0,0,0.016685,8.48253,2.30259,15,0.635479,164,219,0,0,1
Ch6-OV-LearnedMask-Full,17.2337,28,188,LagrangianGreedy,0,0,0.0204361,10.2566,2.30259,18,0.8307,189,262,0,0,1
Ch6-OV-LearnedMask-Full,17.3156,20,97,LagrangianGreedy,0,0,0.0237703,12.336,2.30259,21,0.812269,208,315,0,0,1.03284
Ch6-OV-LearnedMask-Full,17.3251,42,121,LagrangianGreedy,0,0,0.0154869,8.40015,2.30259,14,0.458137,112,182,0,0,1
Ch6-OV-LearnedMask-Full,17.4351,41,131,LagrangianGreedy,0,0,0.0238559,12.336,2.30259,21,0.623148,146,250,0,0,1
Ch6-OV-LearnedMask-Full,17.4661,3,15,LagrangianGreedy,1,0,0.0191206,8.8703,2.30259,17,0.916517,270,313,0,0,1.05029
Ch6-OV-LearnedMask-Full,17.5245,30,181,LagrangianGreedy,0,0,0.0178293,10.0918,2.30259,16,0.419631,50,82,0,0,1
Ch6-OV-LearnedMask-Full,17.5553,44,188,LagrangianGreedy,0,0,0.0155626,7.78939,2.30259,14,0.542904,125,194,0,0,1
Ch6-OV-LearnedMask-Full,17.5892,32,126,LagrangianGreedy,1,0,0.0167008,7.48401,2.30259,15,0.568269,128,226,0,0,1.02591
Ch6-OV-LearnedMask-Full,17.6011,9,6,LagrangianGreedy,0,0,0.0238722,12.336,2.30259,21,0.822101,237,299,0,0,1
Ch6-OV-LearnedMask-Full,17.6973,43,131,LagrangianGreedy,0,0,0.0238505,12.336,2.30259,21,0.712089,146,249,0,0,1
Ch6-OV-LearnedMask-Full,17.7823,45,160,LagrangianGreedy,0,0,0.00236801,1.38629,2.30259,3,0.015089,0,3,0,0,1
Ch6-OV-LearnedMask-Full,17.7832,12,161,LagrangianGreedy,0,0,0.0239076,12.9468,2.30259,21,0.711111,204,258,0,0,1
Ch6-OV-LearnedMask-Full,17.7946,38,113,LagrangianGreedy,0,0,0.0239205,12.336,2.30259,21,0.844464,261,314,0,0,1
Ch6-OV-LearnedMask-Full,17.8032,25,63,LagrangianGreedy,1,0,0.0214514,10.2566,2.30259,19,0.815864,217,323,0,0,1.03977
Ch6-OV-LearnedMask-Full,17.9006,15,138,LagrangianGreedy,0,0,0.0238683,12.6414,2.30259,21,0.735594,257,298,0,0,1
Ch6-OV-LearnedMask-Full,17.9121,16,188,LagrangianGreedy,0,0,0.0167575,8.17715,2.30259,15,0.653634,188,254,0,0,1
Ch6-OV-LearnedMask-Full,17.994,4,188,LagrangianGreedy,0,0,0.0203982,10.2406,2.30259,18,1.02306,257,307,0,0,1
Ch6-OV-LearnedMask-Full,18.0169,10,71,LagrangianGreedy,0,0,0.00594366,3.16035,2.30259,6,0.033731,1,9,0,0,1
Ch6-OV-LearnedMask-Full,18.0619,21,169,LagrangianGreedy,0,0,0.0238595,12.0307,2.30259,21,0.95195,247,360,0,0,0.990426
Ch6-OV-LearnedMask-Full,18.072,24,81,LagrangianGreedy,0,0,0.0238726,13.5576,2.30259,21,0.278267,66,106,0,0,1
Ch6-OV-LearnedMask-Full,18.0831,47,154,LagrangianGreedy,0,0,0.0151936,8.09477,2.30259,14,0.814058,202,279,0,0,1
Ch6-OV-LearnedMask-Full,18.1191,14,178,LagrangianGreedy,0,0,0.00355327,2.07944,2.30259,4,0.029129,0,9,0,0,1
Ch6-OV-LearnedMask-Full,18.1443,35,188,LagrangianGreedy,0,0,0.0167748,8.48253,2.30259,15,0.71513,174,247,0,0,1
Ch6-OV-LearnedMask-Full,18.1478,33,188,LagrangianGreedy,0,0,0.0168089,8.48253,2.30259,15,0.652801,149,226,0,0,1
Ch6-OV-LearnedMask-Full,18.1519,0,154,LagrangianGreedy,0,0,0.0190963,9.86883,2.30259,17,0.814054,251,302,0,0,1
Ch6-OV-LearnedMask-Full,18.1588,17,188,LagrangianGreedy,0,0,0.0191412,9.56345,2.30259,17,0.800554,223,291,0,0,1
Ch6-OV-LearnedMask-Full,18.1719,36,146,LagrangianGreedy,0,0,0.0155315,8.40015,2.30259,14,0.497561,120,192,0,0,1
Ch6-OV-LearnedMask-Full,18.1918,23,113,LagrangianGreedy,0,0,0.0239145,12.0307,2.30259,21,1.07751,323,382,0,0,1
Ch6-OV-LearnedMask-Full,18.2129,22,110,LagrangianGreedy,0,0,0.0238921,13.2522,2.30259,21,0.469778,116,181,0,0,1
Ch6-OV-LearnedMask-Full,18.2365,34,88,LagrangianGreedy,0,0,0.0238774,12.336,2.30259,21,1.04856,206,254,0,0,1
Ch6-OV-LearnedMask-Full,18.2721,26,11,LagrangianGreedy,0,0,0.00473917,2.77259,2.30259,5,0.049097,0,10,0,0,1
