configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
CMDP-PostCheck,10.9951,1,30,PostCheck,0,0,0.00239431,1.651,2.30259,4,0.058431,0,0,0,0,1
CMDP-PostCheck,11.3662,4,42,PostCheck,0,0,1e-06,0.693147,2.30259,2,0.076932,0,0,0,0,1
CMDP-PostCheck,11.5234,5,20,PostCheck,0,0,0.003553,2.64953,2.30259,5,0.128853,0,0,0,0,1
CMDP-PostCheck,11.5304,0,23,PostCheck,0,0,0.00357426,2.16183,2.30259,5,0.085665,0,0,0,0,1
CMDP-PostCheck,11.7999,3,35,PostCheck,0,0,1e-06,0.693147,2.30259,2,0.09106,0,0,0,0,1
CMDP-PostCheck,12.1097,6,6,PostCheck,0,0,0,0,2.30259,1,0.03719,0,0,0,0,1
CMDP-PostCheck,12.44,2,19,PostCheck,0,0,1e-06,0.693147,2.30259,2,0.064389,0,0,0,0,1
CMDP-PostCheck,12.605,7,16,PostCheck,0,0,0.00237087,2.07944,2.30259,4,0.084792,0,0,0,0,1
CMDP-PostCheck,12.9951,1,30,PostCheck,0,0,0.00356647,2.52647,2.30259,5,0.034872,0,0,0,0,1
CMDP-PostCheck,13.3362,10,48,PostCheck,0,0,1e-06,0.693147,2.30259,2,0.06567,0,0,0,0,1
CMDP-PostCheck,13.3662,4,38,PostCheck,0,0,0.00953904,5.0168,2.30259,10,0.045133,0,0,0,0,1
CMDP-PostCheck,13.5234,5,30,PostCheck,0,0,0.0107355,6.25691,2.30259,11,0.098505,0,0,0,0,1
CMDP-PostCheck,13.5304,0,42,PostCheck,0,0,0.00596823,3.24274,2.30259,7,0.031823,0,0,0,0,1
CMDP-PostCheck,13.5312,8,35,PostCheck,1,1,0.00477395,2.16183,2.30259,6,0.089459,0,0,0,0,0.999296
CMDP-PostCheck,13.7999,3,42,PostCheck,0,0,0.00954717,5.0168,2.30259,10,0.051388,0,0,0,0,1
CMDP-PostCheck,13.8646,11,47,PostCheck,0,0,0.00236907,2.07944,2.30259,4,0.079978,0,0,0,0,1
CMDP-PostCheck,14.1097,6,49,PostCheck,0,0,0.00120665,0.693147,2.30259,2,0.027404,0,0,0,0,1
CMDP-PostCheck,14.1194,12,42,PostCheck,0,0,0.00595726,3.24274,2.30259,7,0.099014,0,0,0,0,1
CMDP-PostCheck,14.2482,9,21,PostCheck,1,1,0.0035953,1.46868,2.30259,5,0.105221,0,0,0,0,0.99583
CMDP-PostCheck,14.44,2,19,PostCheck,0,0,1e-06,0.693147,2.30259,2,0.025321,0,0,0,0,1
CMDP-PostCheck,14.605,7,29,PostCheck,0,0,0.00596054,4.15888,2.30259,7,0.034031,0,0,0,0,1
