configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
CMDP-PostCheck,10.5722,1,49,PostCheck,0,0,0.0248307,2.46721,2.30259,5,0.009608,0,0,0,0,1
CMDP-PostCheck,10.8935,2,59,PostCheck,0,0,0.0528152,12.6414,2.30259,21,0.058386,0,0,0,0,1
CMDP-PostCheck,11.1491,3,15,PostCheck,1,0,0.0298642,4.71142,2.30259,11,0.041252,0,0,0,0,1.01204
CMDP-PostCheck,11.3331,5,78,PostCheck,0,0,0.0521568,12.6414,2.30259,21,0.066201,0,0,0,0,1
CMDP-PostCheck,11.5406,0,68,PostCheck,0,0,0.0532686,12.6414,2.30259,21,0.073181,0,0,0,0,1
CMDP-PostCheck,12.4666,4,68,PostCheck,0,0,0.0495857,12.6414,2.30259,21,0.08671,0,0,0,0,1
CMDP-PostCheck,12.5722,1,49,PostCheck,0,0,0.0248332,2.46721,2.30259,5,0.006492,0,0,0,0,1
CMDP-PostCheck,12.8502,7,113,PostCheck,0,0,0.0513335,11.9483,2.30259,20,0.084537,0,0,0,0,1
CMDP-PostCheck,12.8935,2,124,PostCheck,0,0,0.0527942,12.6414,2.30259,21,0.06305,0,0,0,0,1
CMDP-PostCheck,13.1419,8,90,PostCheck,0,0,0.0544212,12.6414,2.30259,21,0.076936,0,0,0,0,1
CMDP-PostCheck,13.1491,3,117,PostCheck,0,0,0.0417046,12.0307,2.30259,21,0.041221,0,0,0,0,1.01204
CMDP-PostCheck,13.1675,11,54,PostCheck,0,0,0.0378223,1.38629,2.30259,3,0.018292,0,0,0,0,1
CMDP-PostCheck,13.3331,5,18,PostCheck,0,0,0.0521409,12.6414,2.30259,21,0.042798,0,0,0,0,1
CMDP-PostCheck,13.3535,6,113,PostCheck,1,1,0.0224182,1.46868,2.30259,5,0.053516,0,0,0,0,0.99583
CMDP-PostCheck,13.5229,10,49,PostCheck,0,0,0.0437889,2.46721,2.30259,5,0.029803,0,0,0,0,1
CMDP-PostCheck,13.5406,0,90,PostCheck,0,0,0.0532594,12.6414,2.30259,21,0.062335,0,0,0,0,1
CMDP-PostCheck,13.8125,12,101,PostCheck,0,0,0.0237741,12.6414,2.30259,21,0.104567,0,0,0,0,1
CMDP-PostCheck,13.8892,9,113,PostCheck,0,0,0.0503292,10.562,2.30259,18,0.102641,0,0,0,0,1
CMDP-PostCheck,13.8921,14,92,PostCheck,0,0,0.032477,1.38629,2.30259,3,0.015356,0,0,0,0,1
CMDP-PostCheck,14.1563,17,139,PostCheck,0,0,0.0472865,12.336,2.30259,21,0.101763,0,0,0,0,1
CMDP-PostCheck,14.2029,13,106,PostCheck,0,0,0.0237938,12.6414,2.30259,21,0.072783,0,0,0,0,1
CMDP-PostCheck,14.3827,18,139,PostCheck,0,0,0.0488823,12.336,2.30259,21,0.086616,0,0,0,0,1
CMDP-PostCheck,14.3899,15,77,PostCheck,0,0,0.0568605,12.6414,2.30259,21,0.075327,0,0,0,0,1
CMDP-PostCheck,14.4666,4,47,PostCheck,0,0,0.049589,12.6414,2.30259,21,0.143451,0,0,0,0,1
CMDP-PostCheck,14.5722,1,49,PostCheck,0,0,0.0236144,2.46721,2.30259,5,0.025229,0,0,0,0,1
CMDP-PostCheck,14.8502,7,113,PostCheck,0,0,0.0406468,6.01533,2.30259,11,0.033527,0,0,0,0,1
CMDP-PostCheck,14.8935,2,93,PostCheck,0,0,0.0527358,12.6414,2.30259,21,0.096987,0,0,0,0,1
CMDP-PostCheck,15.1016,16,150,PostCheck,0,0,0.0381041,10.562,2.30259,18,0.083549,0,0,0,0,1
CMDP-PostCheck,15.1419,8,79,PostCheck,0,0,0.0544257,12.6414,2.30259,21,0.053196,0,0,0,0,1
CMDP-PostCheck,15.1419,23,88,PostCheck,0,0,0.0449835,10.785,2.30259,17,0.065824,0,0,0,0,1
CMDP-PostCheck,15.1491,3,39,PostCheck,0,0,0.0515398,12.0307,2.30259,21,0.072649,0,0,0,0,1.01204
CMDP-PostCheck,15.1675,11,26,PostCheck,0,0,0.00355208,2.07944,2.30259,4,0.005473,0,0,0,0,1
CMDP-PostCheck,15.2229,22,84,PostCheck,0,0,0.0189748,11.0904,2.30259,17,0.072713,0,0,0,0,1
CMDP-PostCheck,15.2845,24,15,PostCheck,0,0,0.0580313,13.2522,2.30259,21,0.107381,0,0,0,0,1
CMDP-PostCheck,15.3331,5,18,PostCheck,0,0,0.0533118,12.9468,2.30259,21,0.10485,0,0,0,0,1
CMDP-PostCheck,15.3535,6,39,PostCheck,0,0,0.0414684,12.0307,2.30259,21,0.049268,0,0,0,0,0.99583
