configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
Ch6-OV-G4-GNN-Strict,11.06,3,3,RLPolicy,0,0,0,0,2.30259,1,0.224939,7,7,0.215879,45,1
Ch6-OV-G4-GNN-Strict,11.3471,1,1,RLPolicy,0,0,0,0,2.30259,1,0.21514,4,4,0.207205,4,1
Ch6-OV-G4-GNN-Strict,11.5304,0,0,RLPolicy,0,0,0,0,2.30259,1,0.237152,13,13,0.228022,56,1
Ch6-OV-G4-GNN-Strict,11.8236,5,5,RLPolicy,0,0,0,0,2.30259,1,0.241786,10,10,0.232092,1,1
Ch6-OV-G4-GNN-Strict,12.0273,2,2,RLPolicy,0,0,0,0,2.30259,1,0.375834,11,11,0.359526,60,1
Ch6-OV-G4-GNN-Strict,12.0348,4,4,RLPolicy,0,0,0,0,2.30259,1,0.25033,14,14,0.239904,5,1
Ch6-OV-G4-GNN-Strict,12.5044,6,6,RLPolicy,0,0,0,0,2.30259,1,0.281223,9,9,0.272361,30,1
Ch6-OV-G4-GNN-Strict,12.8287,9,76,RLPolicy,1,1,0.00479919,2.07944,2.30259,5,0.503059,43,48,0.405706,71,0.998884
Ch6-OV-G4-GNN-Strict,13.06,3,3,RLPolicy,0,0,0,0,2.30259,1,0.193833,9,9,0.185661,71,1
Ch6-OV-G4-GNN-Strict,13.1394,12,32,RLPolicy,1,1,0.0324868,0.693147,2.30259,3,0.64709,0,22,0.550561,71,0.991953
Ch6-OV-G4-GNN-Strict,13.3471,1,1,RLPolicy,0,0,0,0,2.30259,1,0.226304,4,4,0.218172,73,1
Ch6-OV-G4-GNN-Strict,13.3654,7,7,RLPolicy,0,0,0,0,2.30259,1,0.340986,18,18,0.328693,33,1
Ch6-OV-G4-GNN-Strict,13.3911,8,8,RLPolicy,0,0,0,0,2.30259,1,0.480314,20,20,0.46199,6,1
Ch6-OV-G4-GNN-Strict,13.5304,0,0,RLPolicy,0,0,0,0,2.30259,1,0.224658,12,12,0.216893,80,1
Ch6-OV-G4-GNN-Strict,13.7018,11,11,RLPolicy,0,0,0,0,2.30259,1,0.301547,2,2,0.29162,34,1
Ch6-OV-G4-GNN-Strict,13.8236,5,5,RLPolicy,0,0,0,0,2.30259,1,0.206822,12,12,0.197548,2,1
Ch6-OV-G4-GNN-Strict,14.0191,10,10,RLPolicy,0,0,0,0,2.30259,1,0.348226,4,4,0.337575,85,1
Ch6-OV-G4-GNN-Strict,14.0273,2,2,RLPolicy,0,0,0,0,2.30259,1,0.199983,12,12,0.192112,3,1
Ch6-OV-G4-GNN-Strict,14.0348,4,4,RLPolicy,0,0,0,0,2.30259,1,0.229196,14,14,0.220551,85,1
Ch6-OV-G4-GNN-Strict,14.4809,18,18,RLPolicy,0,0,0,0,2.30259,1,0.946763,17,17,0.920774,87,1
