configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
Ch6-OV-G4-GNN-Strict,10.5722,1,1,RLPolicy,0,0,0,0,2.30259,1,0.151622,4,4,0.14435,24,1
Ch6-OV-G4-GNN-Strict,10.8935,2,2,RLPolicy,0,0,0,0,2.30259,1,0.205702,8,8,0.196326,1,1
Ch6-OV-G4-GNN-Strict,11.1491,3,3,RLPolicy,0,0,0,0,2.30259,1,0.213539,7,7,0.204695,45,1
Ch6-OV-G4-GNN-Strict,11.3331,5,5,RLPolicy,0,0,0,0,2.30259,1,0.380434,8,8,0.363261,55,1
Ch6-OV-G4-GNN-Strict,11.5406,0,0,RLPolicy,0,0,0,0,2.30259,1,0.300283,13,13,0.286732,4,1
Ch6-OV-G4-GNN-Strict,12.4666,4,4,RLPolicy,0,0,0,0,2.30259,1,0.518636,13,13,0.500369,5,1
Ch6-OV-G4-GNN-Strict,12.5722,1,1,RLPolicy,0,0,0,0,2.30259,1,0.178862,4,4,0.172198,67,1
Ch6-OV-G4-GNN-Strict,12.8502,7,7,RLPolicy,0,0,0,0,2.30259,1,0.683712,17,17,0.665951,3,1
Ch6-OV-G4-GNN-Strict,12.8935,2,2,RLPolicy,0,0,0,0,2.30259,1,0.222654,11,11,0.214931,71,1
Ch6-OV-G4-GNN-Strict,13.1419,8,8,RLPolicy,0,0,0,0,2.30259,1,0.355216,21,21,0.34281,71,1
Ch6-OV-G4-GNN-Strict,13.1491,3,3,RLPolicy,0,0,0,0,2.30259,1,0.19144,9,9,0.183498,33,1
Ch6-OV-G4-GNN-Strict,13.1675,11,11,RLPolicy,0,0,0,0,2.30259,1,0.313136,2,2,0.301152,33,1
Ch6-OV-G4-GNN-Strict,13.3331,5,5,RLPolicy,0,0,0,0,2.30259,1,0.268654,12,12,0.260499,73,1
Ch6-OV-G4-GNN-Strict,13.3535,6,113,RLPolicy,1,1,0.0413681,1.08091,2.30259,4,0.42149,5,24,0.349346,73,0.993892
Ch6-OV-G4-GNN-Strict,13.5229,10,10,RLPolicy,0,0,0,0,2.30259,1,0.274377,4,4,0.26485,34,1
Ch6-OV-G4-GNN-Strict,13.5406,0,0,RLPolicy,0,0,0,0,2.30259,1,0.224547,12,12,0.216273,80,1
Ch6-OV-G4-GNN-Strict,13.8125,12,12,RLPolicy,0,0,0,0,2.30259,1,0.331385,9,9,0.321227,34,1
Ch6-OV-G4-GNN-Strict,13.8892,9,9,RLPolicy,0,0,0,0,2.30259,1,0.815965,15,15,0.739249,5,1
Ch6-OV-G4-GNN-Strict,13.8921,14,14,RLPolicy,0,0,0,0,2.30259,1,0.287276,2,2,0.277737,34,1
Ch6-OV-G4-GNN-Strict,14.1563,17,17,RLPolicy,0,0,0,0,2.30259,1,0.397347,16,16,0.385308,87,1
Ch6-OV-G4-GNN-Strict,14.2029,13,112,RLPolicy,1,1,0.0252249,1.38629,2.30259,4,0.45001,10,34,0.365155,87,0.995419
Ch6-OV-G4-GNN-Strict,14.3827,18,18,RLPolicy,0,0,0,0,2.30259,1,0.627847,17,17,0.607976,87,1
Ch6-OV-G4-GNN-Strict,14.3899,15,15,RLPolicy,0,0,0,0,2.30259,1,0.413035,9,9,0.399582,1,1
Ch6-OV-G4-GNN-Strict,14.4666,4,4,RLPolicy,0,0,0,0,2.30259,1,0.286918,14,14,0.277438,87,1
Ch6-OV-G4-GNN-Strict,14.5722,1,1,RLPolicy,0,0,0,0,2.30259,1,0.374835,4,4,0.363863,87,1
Ch6-OV-G4-GNN-Strict,14.8502,7,7,RLPolicy,0,0,0,0,2.30259,1,0.255516,19,19,0.245353,3,1
Ch6-OV-G4-GNN-Strict,14.8935,2,2,RLPolicy,0,0,0,0,2.30259,1,0.37594,13,13,0.364047,90,1
Ch6-OV-G4-GNN-Strict,15.1016,16,16,RLPolicy,0,0,0,0,2.30259,1,0.371067,19,19,0.342376,94,1
Ch6-OV-G4-GNN-Strict,15.1419,8,8,RLPolicy,0,0,0,0,2.30259,1,0.311376,25,25,0.300438,94,1
Ch6-OV-G4-GNN-Strict,15.1419,23,23,RLPolicy,0,0,0,0,2.30259,1,1.01497,15,15,0.978523,45,1
Ch6-OV-G4-GNN-Strict,15.1491,3,3,RLPolicy,0,0,0,0,2.30259,1,0.420683,11,11,0.407961,94,1
Ch6-OV-G4-GNN-Strict,15.1675,11,11,RLPolicy,0,0,0,0,2.30259,1,0.249874,3,3,0.2414,45,1
Ch6-OV-G4-GNN-Strict,15.2229,22,22,RLPolicy,0,0,0,0,2.30259,1,0.571509,17,17,0.550894,95,1
Ch6-OV-G4-GNN-Strict,15.2845,24,24,RLPolicy,0,0,0,0,2.30259,1,0.418957,6,6,0.407876,95,1
Ch6-OV-G4-GNN-Strict,15.3331,5,5,RLPolicy,0,0,0,0,2.30259,1,0.62265,20,20,0.595372,97,1
Ch6-OV-G4-GNN-Strict,15.3535,6,6,RLPolicy,0,0,0,0,2.30259,1,0.40664,11,11,0.39677,97,0.993892
Ch6-OV-G4-GNN-Strict,15.5229,10,10,RLPolicy,0,0,0,0,2.30259,1,0.452683,4,4,0.439532,97,1
Ch6-OV-G4-GNN-Strict,15.5406,0,0,RLPolicy,0,0,0,0,2.30259,1,1.68622,16,16,1.62529,97,1
Ch6-OV-G4-GNN-Strict,15.7598,26,26,RLPolicy,0,0,0,0,2.30259,1,0.482285,3,3,0.465326,49,1
Ch6-OV-G4-GNN-Strict,15.8125,12,66,RLPolicy,1,1,0.0342323,1.08091,2.30259,4,0.421802,3,42,0.312553,104,0.993892
Ch6-OV-G4-GNN-Strict,15.8892,9,9,RLPolicy,0,0,0,0,2.30259,1,0.337334,18,18,0.326798,49,1
Ch6-OV-G4-GNN-Strict,15.8921,14,14,RLPolicy,0,0,0,0,2.30259,1,0.295134,2,2,0.287625,104,1
Ch6-OV-G4-GNN-Strict,16.0157,20,20,RLPolicy,0,0,0,0,2.30259,1,0.547136,31,31,0.531113,6,1
Ch6-OV-G4-GNN-Strict,16.0171,19,19,RLPolicy,0,0,0,0,2.30259,1,0.793597,13,13,0.770382,50,1
Ch6-OV-G4-GNN-Strict,16.0675,21,70,RLPolicy,1,1,0.0048065,2.07944,2.30259,5,0.722551,75,82,0.581795,104,0.998884
Ch6-OV-G4-GNN-Strict,16.1563,17,17,RLPolicy,0,0,0,0,2.30259,1,0.352343,18,18,0.340739,105,1
Ch6-OV-G4-GNN-Strict,16.2029,13,32,RLPolicy,1,1,0.00362754,1.38629,2.30259,4,0.549386,11,45,0.408904,106,0.990837
Ch6-OV-G4-GNN-Strict,16.2191,25,25,RLPolicy,0,0,0,0,2.30259,1,0.456636,28,28,0.438525,6,1
Ch6-OV-G4-GNN-Strict,16.3341,37,37,RLPolicy,0,0,0,0,2.30259,1,0.437087,5,5,0.42495,107,1
Ch6-OV-G4-GNN-Strict,16.3827,18,18,RLPolicy,0,0,0,0,2.30259,1,0.456046,20,20,0.44366,107,1
Ch6-OV-G4-GNN-Strict,16.3899,15,15,RLPolicy,0,0,0,0,2.30259,1,0.297073,11,11,0.287625,107,1
Ch6-OV-G4-GNN-Strict,16.4666,4,4,RLPolicy,0,0,0,0,2.30259,1,0.535116,12,12,0.521513,110,1
Ch6-OV-G4-GNN-Strict,16.4706,27,22,RLPolicy,1,1,0.00485395,2.07944,2.30259,5,0.619429,74,81,0.515469,110,0.998884
Ch6-OV-G4-GNN-Strict,16.5722,1,1,RLPolicy,0,0,0,0,2.30259,1,0.349736,3,3,0.339619,53,1
Ch6-OV-G4-GNN-Strict,16.7052,28,28,RLPolicy,0,0,0,0,2.30259,1,0.555929,19,19,0.539022,112,1
Ch6-OV-G4-GNN-Strict,16.751,29,29,RLPolicy,0,0,0,0,2.30259,1,1.0054,23,23,0.97238,112,1
Ch6-OV-G4-GNN-Strict,16.8502,7,7,RLPolicy,0,0,0,0,2.30259,1,0.577458,21,21,0.557957,57,1
Ch6-OV-G4-GNN-Strict,16.8935,2,2,RLPolicy,0,0,0,0,2.30259,1,0.419854,18,18,0.408876,112,1
Ch6-OV-G4-GNN-Strict,16.9325,32,66,RLPolicy,1,1,0.0469208,2.16183,2.30259,6,0.626126,94,106,0.508995,114,0.999296
Ch6-OV-G4-GNN-Strict,16.9851,33,33,RLPolicy,0,0,0,0,2.30259,1,0.723703,28,28,0.702554,114,1
Ch6-OV-G4-GNN-Strict,17.0336,40,40,RLPolicy,0,0,0,0,2.30259,1,0.502806,11,11,0.485367,3,1
Ch6-OV-G4-GNN-Strict,17.0339,31,31,RLPolicy,0,0,0,0,2.30259,1,1.04513,26,26,1.00465,115,1
Ch6-OV-G4-GNN-Strict,17.0987,39,21,RLPolicy,1,1,0.0421444,2.07944,2.30259,5,0.752256,79,86,0.636961,115,0.998884
Ch6-OV-G4-GNN-Strict,17.1016,16,16,RLPolicy,0,0,0,0,2.30259,1,0.385704,18,18,0.375116,116,1
Ch6-OV-G4-GNN-Strict,17.1114,38,38,RLPolicy,0,0,0,0,2.30259,1,0.540739,17,17,0.524549,59,1
Ch6-OV-G4-GNN-Strict,17.1419,8,8,RLPolicy,0,0,0,0,2.30259,1,0.788747,30,30,0.768448,116,1
Ch6-OV-G4-GNN-Strict,17.1419,23,23,RLPolicy,0,0,0,0,2.30259,1,0.53354,23,23,0.512563,6,1
Ch6-OV-G4-GNN-Strict,17.1491,3,3,RLPolicy,0,0,0,0,2.30259,1,0.52377,15,15,0.506194,116,1
Ch6-OV-G4-GNN-Strict,17.1675,11,11,RLPolicy,0,0,0,0,2.30259,1,0.666817,4,4,0.648051,59,1
Ch6-OV-G4-GNN-Strict,17.2229,22,22,RLPolicy,0,0,0,0,2.30259,1,0.447376,22,22,0.430771,6,1
Ch6-OV-G4-GNN-Strict,17.2845,24,24,RLPolicy,0,0,0,0,2.30259,1,0.413279,8,8,0.401932,59,1
Ch6-OV-G4-GNN-Strict,17.3009,35,35,RLPolicy,0,0,0,0,2.30259,1,0.574811,16,16,0.55948,119,1
Ch6-OV-G4-GNN-Strict,17.3331,5,5,RLPolicy,0,0,0,0,2.30259,1,0.541197,27,27,0.523478,119,1
Ch6-OV-G4-GNN-Strict,17.3535,6,6,RLPolicy,0,0,0,0,2.30259,1,1.74167,15,15,1.68773,119,0.993892
Ch6-OV-G4-GNN-Strict,17.5229,10,10,RLPolicy,0,0,0,0,2.30259,1,3.79721,3,3,0.742022,60,1
Ch6-OV-G4-GNN-Strict,17.5406,0,0,RLPolicy,0,0,0,0,2.30259,1,0.513555,20,20,0.476878,120,1
Ch6-OV-G4-GNN-Strict,17.7598,26,26,RLPolicy,0,0,0,0,2.30259,1,0.449656,4,4,0.438012,64,1
Ch6-OV-G4-GNN-Strict,17.8125,12,66,RLPolicy,1,1,0.0281205,0.693147,2.30259,3,0.926495,0,38,0.845501,124,0.985844
Ch6-OV-G4-GNN-Strict,17.815,30,15,RLPolicy,1,1,0.038539,1.77406,2.30259,5,0.758418,61,71,0.574428,124,0.997357
Ch6-OV-G4-GNN-Strict,17.8892,9,9,RLPolicy,0,0,0,0,2.30259,1,1.00612,23,23,0.956514,65,1
Ch6-OV-G4-GNN-Strict,17.8921,14,14,RLPolicy,0,0,0,0,2.30259,1,1.02061,3,3,0.918767,124,1
Ch6-OV-G4-GNN-Strict,17.909,45,45,RLPolicy,0,0,0,0,2.30259,1,0.681201,2,2,0.661866,130,1
Ch6-OV-G4-GNN-Strict,17.989,34,34,RLPolicy,0,0,0,0,2.30259,1,0.880249,8,8,0.857403,66,1
Ch6-OV-G4-GNN-Strict,17.9998,36,117,RLPolicy,1,1,0.0370453,0.775531,2.30259,4,0.905201,0,65,0.71485,130,0.992365
Ch6-OV-G4-GNN-Strict,18.0157,20,9,RLPolicy,1,1,0.00482489,2.07944,2.30259,5,0.654615,77,89,0.51791,130,0.998884
Ch6-OV-G4-GNN-Strict,18.0171,19,19,RLPolicy,0,0,0,0,2.30259,1,0.42428,16,16,0.410545,3,1
Ch6-OV-G4-GNN-Strict,18.034,47,185,RLPolicy,1,1,0.0426338,1.46868,2.30259,5,3.06019,1,117,2.74796,67,0.99583
Ch6-OV-G4-GNN-Strict,18.0675,21,113,RLPolicy,1,1,0.0389619,0.693147,2.30259,3,0.614786,0,53,0.540791,130,0.990837
Ch6-OV-G4-GNN-Strict,18.1274,50,50,RLPolicy,0,0,0,0,2.30259,1,0.754854,31,31,0.734979,132,1
Ch6-OV-G4-GNN-Strict,18.138,41,41,RLPolicy,0,0,0,0,2.30259,1,0.573687,25,25,0.544357,6,1
Ch6-OV-G4-GNN-Strict,18.1563,17,17,RLPolicy,0,0,0,0,2.30259,1,0.853593,21,21,0.826227,132,1
Ch6-OV-G4-GNN-Strict,18.2029,13,112,RLPolicy,1,1,0.038945,2.16183,2.30259,6,0.819704,78,100,0.62799,134,0.990133
Ch6-OV-G4-GNN-Strict,18.2191,25,25,RLPolicy,0,0,0,0,2.30259,1,0.542343,31,31,0.492477,134,1
Ch6-OV-G4-GNN-Strict,18.2377,51,51,RLPolicy,0,0,0,0,2.30259,1,0.740748,17,17,0.64287,68,1
Ch6-OV-G4-GNN-Strict,18.3341,37,37,RLPolicy,0,0,0,0,2.30259,1,0.491286,5,5,0.479554,68,1
Ch6-OV-G4-GNN-Strict,18.3827,18,18,RLPolicy,0,0,0,0,2.30259,1,0.708287,27,27,0.687889,68,1
Ch6-OV-G4-GNN-Strict,18.3899,15,15,RLPolicy,0,0,0,0,2.30259,1,0.637248,9,9,0.616006,3,1
Ch6-OV-G4-GNN-Strict,18.4292,57,57,RLPolicy,0,0,0,0,2.30259,1,0.613352,9,9,0.596353,68,1
Ch6-OV-G4-GNN-Strict,18.4666,4,4,RLPolicy,0,0,0,0,2.30259,1,0.528611,15,15,0.515852,136,1
Ch6-OV-G4-GNN-Strict,18.4706,27,27,RLPolicy,0,0,0,0,2.30259,1,0.481167,36,36,0.468664,68,0.998884
Ch6-OV-G4-GNN-Strict,18.4725,42,147,RLPolicy,1,1,0.0429337,0.693147,2.30259,3,0.872845,0,52,0.758945,136,0.991953
Ch6-OV-G4-GNN-Strict,18.5371,58,66,RLPolicy,1,1,0.0448517,1.08091,2.30259,4,1.17215,3,58,0.870616,136,0.993892
Ch6-OV-G4-GNN-Strict,18.5722,1,1,RLPolicy,0,0,0,0,2.30259,1,0.681033,3,3,0.659915,136,1
Ch6-OV-G4-GNN-Strict,18.6401,54,54,RLPolicy,0,0,0,0,2.30259,1,0.831166,4,4,0.796424,71,1
Ch6-OV-G4-GNN-Strict,18.7052,28,184,RLPolicy,1,1,0.0363794,0.387766,2.30259,3,0.648663,0,59,0.534929,71,0.990426
Ch6-OV-G4-GNN-Strict,18.7187,55,177,RLPolicy,1,1,0.040006,1.38629,2.30259,4,0.959448,13,46,0.81664,136,0.995419
Ch6-OV-G4-GNN-Strict,18.7319,43,43,RLPolicy,0,0,0,0,2.30259,1,0.93749,32,32,0.901784,6,1
