simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
16.2231,25,70,3,3.96783,0.861903,2.30259,0,ExactBaseline
17.2255,22,57,2,2.60392,0.690288,2.30259,0,ExactBaseline
17.3349,5,29,1,1.86871,0.386975,2.30259,0,ExactBaseline
18.7356,43,39,3,3.65645,0.915785,2.30259,0,ExactBaseline
19.1133,38,133,1,1.93542,0.348632,2.30259,0,ExactBaseline
19.1437,8,35,1,1.81371,0.334161,2.30259,0,ExactBaseline
19.3097,60,203,3,4.04366,0.908905,2.30259,0,ExactBaseline
19.335,5,35,1,1.94478,0.175279,2.30259,0,ExactBaseline
19.5081,48,220,1,1.81984,0.344543,2.30259,0,ExactBaseline
19.8198,56,53,2,3.01307,0.567488,2.30259,0,ExactBaseline
20.0357,47,185,1,1.72085,0.146086,2.30259,0,ExactBaseline
20.1302,50,169,2,2.75071,0.413299,2.30259,0,ExactBaseline
20.7336,43,34,1,1.67766,0.352123,2.30259,0,ExactBaseline
20.8395,72,246,2,2.99143,0.647747,2.30259,0,ExactBaseline
20.9375,32,248,4,5.01557,1.41854,2.30259,0,ExactBaseline
21.0386,40,258,4,5.05369,1.07389,2.30259,0,ExactBaseline
21.308,24,7,2,23.4923,0.701695,2.30259,0,ExactBaseline
21.4095,52,194,1,1.698,0.146909,2.30259,0,ExactBaseline
21.8142,12,115,1,1.71785,0.176479,2.30259,0,ExactBaseline
22.0196,20,129,3,3.83243,0.508625,2.30259,0,ExactBaseline
22.8183,102,191,3,3.94369,0.960652,2.30259,0,ExactBaseline
23.1123,44,46,3,4.0896,0.818656,2.30259,0,ExactBaseline
23.6466,53,165,2,2.74063,0.56293,2.30259,0,ExactBaseline
24.4353,74,128,2,3.01345,0.581572,2.30259,0,ExactBaseline
24.5388,58,66,1,1.70058,0.356302,2.30259,0,ExactBaseline
24.739,93,291,1,1.68071,0.346584,2.30259,0,ExactBaseline
24.9077,2,16,2,14.1659,0.59219,2.30259,0,ExactBaseline
25.0353,40,172,1,1.69112,0.236923,2.30259,0,ExactBaseline
25.0372,31,18,1,3.33251,0.186706,2.30259,0,ExactBaseline
25.2259,22,57,2,3.00522,0.42602,2.30259,0,ExactBaseline
25.4246,140,56,1,1.93792,0.155802,2.30259,0,ExactBaseline
25.4313,61,131,1,1.94897,0.353267,2.30259,0,ExactBaseline
25.5427,0,216,1,2.0272,0.174073,2.30259,0,ExactBaseline
