simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
16.1066,21,91,1,44.7117,0.343504,2.30259,0,LagrangianGreedy
16.836,5,4,3,3.94764,1.00254,2.30259,0,LagrangianGreedy
22.0378,93,31,1,1.82802,0.214667,2.30259,0,LagrangianGreedy
27.1296,19,112,1,1.80919,0.33739,2.30259,0,LagrangianGreedy
28.2271,133,41,1,1.92683,0.176451,2.30259,0,LagrangianGreedy
30.2271,133,325,1,1.89634,0.14607,2.30259,0,LagrangianGreedy
32.1366,169,406,1,1.97301,0.125754,2.30259,0,LagrangianGreedy
33.8065,12,168,1,23.3263,0.10093,2.30259,0,LagrangianGreedy
35.042,314,464,1,2.17536,0.313566,2.30259,0,LagrangianGreedy
35.6471,301,443,1,2.05977,0.317337,2.30259,0,LagrangianGreedy
36.1068,21,113,1,44.8577,0.327826,2.30259,0,LagrangianGreedy
36.6439,166,482,1,2.10664,0.165001,2.30259,0,LagrangianGreedy
38.2384,34,87,1,1.93607,0.328158,2.30259,0,LagrangianGreedy
38.5368,29,8,2,2.98363,0.631552,2.30259,0,LagrangianGreedy
38.6502,201,151,1,1.80754,0.218946,2.30259,0,LagrangianGreedy
42.0358,102,94,1,1.81107,0.323631,2.30259,0,LagrangianGreedy
42.7369,412,533,1,1.72475,0.139451,2.30259,0,LagrangianGreedy
44.1463,35,201,1,2.03542,0.324934,2.30259,0,LagrangianGreedy
44.6104,78,283,1,1.80856,0.133891,2.30259,0,LagrangianGreedy
44.7349,354,201,1,1.74778,0.104629,2.30259,0,LagrangianGreedy
47.041,156,58,1,2.29692,0.0872877,2.30259,0,LagrangianGreedy
47.0431,352,296,1,2.56107,0.216826,2.30259,0,LagrangianGreedy
47.8456,87,533,1,1.85442,0.0809114,2.30259,0,LagrangianGreedy
48.036,102,598,1,2.0586,0.327829,2.30259,0,LagrangianGreedy
48.1462,35,502,1,1.95637,0.211984,2.30259,0,LagrangianGreedy
