simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
12.8325,9,76,3,3.80427,1.11908,2.30259,0,LagrangianGreedy
13.1421,12,32,2,2.76129,0.616276,2.30259,0,LagrangianGreedy
15.1431,12,66,3,3.7476,0.923629,2.30259,0,LagrangianGreedy
19.142,12,187,2,2.64809,0.507974,2.30259,0,LagrangianGreedy
19.7437,27,207,3,3.83983,1.00299,2.30259,0,LagrangianGreedy
20.0161,30,159,3,4.21058,1.04757,2.30259,0,LagrangianGreedy
20.0211,21,187,4,5.75569,1.2121,2.30259,0,LagrangianGreedy
20.1244,57,125,3,3.75525,1.0157,2.30259,0,LagrangianGreedy
21.009,56,155,3,41.0697,1.20116,2.30259,0,LagrangianGreedy
21.1411,12,126,1,1.67524,0.172823,2.30259,0,LagrangianGreedy
21.8275,5,154,3,3.94449,1.01656,2.30259,0,LagrangianGreedy
21.9085,22,128,3,52.2301,1.01654,2.30259,0,LagrangianGreedy
23.1431,12,66,3,3.68347,0.953854,2.30259,0,LagrangianGreedy
23.2257,112,13,3,3.9099,0.703886,2.30259,0,LagrangianGreedy
23.722,126,32,3,4.09567,0.702565,2.30259,0,LagrangianGreedy
24.0435,29,47,3,3.95143,0.968871,2.30259,0,LagrangianGreedy
24.3327,77,73,3,3.8812,0.533246,2.30259,0,LagrangianGreedy
24.9141,80,4,3,4.4393,0.905898,2.30259,0,LagrangianGreedy
25.2254,112,13,3,3.54798,0.468772,2.30259,0,LagrangianGreedy
25.3158,49,130,3,4.24297,0.985104,2.30259,0,LagrangianGreedy
25.5168,53,329,1,2.0645,0.216361,2.30259,0,LagrangianGreedy
25.8387,92,39,3,4.04127,0.722016,2.30259,0,LagrangianGreedy
26.0207,21,91,4,5.38036,0.826451,2.30259,0,LagrangianGreedy
26.3484,32,126,5,6.52775,0.860125,2.30259,0,LagrangianGreedy
27.1143,181,177,3,4.07861,0.742041,2.30259,0,LagrangianGreedy
27.2165,147,131,3,4.17862,0.659402,2.30259,0,LagrangianGreedy
28.2355,172,365,3,3.91404,0.769065,2.30259,0,LagrangianGreedy
28.3329,77,121,3,4.04236,1.07498,2.30259,0,LagrangianGreedy
28.3451,79,53,3,3.95844,0.744383,2.30259,0,LagrangianGreedy
28.6385,203,305,3,3.96517,0.848734,2.30259,0,LagrangianGreedy
29.1104,161,86,3,3.84411,0.839876,2.30259,0,LagrangianGreedy
