simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
14.2079,13,112,2,4.99108,0.70292,2.30259,0,RLPolicy
15.8153,12,66,2,2.79873,0.727567,2.30259,0,RLPolicy
17.8191,30,15,3,4.07586,1.07031,2.30259,0,RLPolicy
18.0196,20,9,3,3.90894,0.958934,2.30259,0,RLPolicy
18.7213,55,177,2,2.60435,0.727203,2.30259,0,RLPolicy
18.9077,2,140,2,14.1711,0.684406,2.30259,0,RLPolicy
19.0381,31,144,3,4.20049,1.01431,2.30259,0,RLPolicy
19.1445,23,13,2,2.6208,0.599761,2.30259,0,RLPolicy
19.8142,12,32,1,1.68349,0.344514,2.30259,0,RLPolicy
19.8195,56,150,2,2.7411,0.543795,2.30259,0,RLPolicy
20.0065,34,115,1,17.4483,0.194002,2.30259,0,RLPolicy
20.0188,20,38,2,3.01336,0.698626,2.30259,0,RLPolicy
20.5388,58,32,1,1.68147,0.230605,2.30259,0,RLPolicy
20.7225,55,149,3,3.80928,0.815457,2.30259,0,RLPolicy
21.0364,40,194,2,2.81682,0.455752,2.30259,0,RLPolicy
21.4117,52,129,3,3.83238,0.588619,2.30259,0,RLPolicy
21.8144,12,115,1,1.947,0.179183,2.30259,0,RLPolicy
22.3192,103,269,1,2.21011,0.339613,2.30259,0,RLPolicy
22.736,43,267,3,4.09323,0.648199,2.30259,0,RLPolicy
22.8489,112,13,3,3.79652,0.691159,2.30259,0,RLPolicy
22.9087,2,46,3,15.1335,0.913234,2.30259,0,RLPolicy
23.041,82,186,3,3.6977,0.550467,2.30259,0,RLPolicy
23.2084,59,229,3,7.71938,0.853414,2.30259,0,RLPolicy
23.4312,61,41,1,1.82615,0.174503,2.30259,0,RLPolicy
23.8142,12,66,1,1.68157,0.239397,2.30259,0,RLPolicy
24.2168,125,171,2,3.03558,0.351372,2.30259,0,RLPolicy
24.431,63,149,3,3.81208,0.656916,2.30259,0,RLPolicy
24.449,99,242,2,2.66588,0.371279,2.30259,0,RLPolicy
24.5388,58,66,1,1.67703,0.1636,2.30259,0,RLPolicy
25.0448,46,286,3,3.56909,0.749777,2.30259,0,RLPolicy
25.1096,39,43,3,10.861,0.502068,2.30259,0,RLPolicy
25.5094,48,64,2,3.15054,0.399208,2.30259,0,RLPolicy
25.8142,12,66,1,1.68453,0.132243,2.30259,0,RLPolicy
26.2091,13,172,3,6.23288,0.646282,2.30259,0,RLPolicy
26.7337,43,34,1,1.81496,0.156557,2.30259,0,RLPolicy
26.8162,102,234,1,1.81282,0.193149,2.30259,0,RLPolicy
26.9398,151,234,3,3.86407,0.874421,2.30259,0,RLPolicy
27.0403,82,104,2,3.00641,0.281152,2.30259,0,RLPolicy
27.227,22,357,3,4.14794,0.81836,2.30259,0,RLPolicy
27.248,187,352,3,3.67359,0.64274,2.30259,0,RLPolicy
27.9316,166,326,3,3.90102,0.97873,2.30259,0,RLPolicy
28.1294,50,265,1,1.95258,0.347521,2.30259,0,RLPolicy
