simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
20.3293,23,89,4,4.7532,1.32073,2.30259,0,RLPolicy
24.62,100,31,3,3.92356,0.992112,2.30259,0,RLPolicy
25.2452,52,64,2,2.94575,0.543067,2.30259,0,RLPolicy
26.0174,21,179,1,2.06176,0.321889,2.30259,0,RLPolicy
27.3252,109,191,1,1.7383,0.345119,2.30259,0,RLPolicy
30.0137,30,255,1,1.78653,0.339911,2.30259,0,RLPolicy
30.0424,29,144,2,2.87411,0.653432,2.30259,0,RLPolicy
30.4202,237,323,1,1.69475,0.215032,2.30259,0,RLPolicy
31.5265,165,385,1,2.04547,0.373002,2.30259,0,RLPolicy
32.0377,4,144,2,2.90109,0.564324,2.30259,0,RLPolicy
32.7067,140,150,1,1.87349,0.327939,2.30259,0,RLPolicy
33.2069,216,17,1,36.2747,0.333985,2.30259,0,RLPolicy
33.3061,287,196,1,29.6834,0.357853,2.30259,0,RLPolicy
33.5164,53,396,1,1.69713,0.2233,2.30259,0,RLPolicy
37.6072,314,382,1,6.38361,0.160837,2.30259,0,RLPolicy
37.7291,128,23,1,1.81098,0.16323,2.30259,0,RLPolicy
37.9412,170,347,1,1.82309,0.353816,2.30259,0,RLPolicy
39.1412,12,275,1,1.86259,0.131925,2.30259,0,RLPolicy
39.2333,38,471,1,1.80053,0.315218,2.30259,0,RLPolicy
39.3175,188,524,1,2.29141,0.306684,2.30259,0,RLPolicy
41.6304,246,4,1,2.06247,0.176676,2.30259,0,RLPolicy
42.0378,4,61,2,2.96122,0.365866,2.30259,0,RLPolicy
42.2301,352,436,1,1.68317,0.311706,2.30259,0,RLPolicy
42.6184,274,477,1,1.67645,0.111682,2.30259,0,RLPolicy
43.4297,67,444,3,4.16461,0.952641,2.30259,0,RLPolicy
43.8499,356,87,1,1.71408,0.0917574,2.30259,0,RLPolicy
45.4257,376,609,1,1.92132,0.135639,2.30259,0,RLPolicy
45.7291,413,203,1,1.81071,0.126218,2.30259,0,RLPolicy
45.8499,356,84,1,1.70884,0.0841194,2.30259,0,RLPolicy
49.2435,344,230,1,1.88364,0.330431,2.30259,0,RLPolicy
