simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
20.3293,23,89,4,4.7532,1.32073,2.30259,0,PostCheck
24.62,100,31,3,3.92356,0.992112,2.30259,0,PostCheck
25.2452,52,64,2,2.94575,0.543067,2.30259,0,PostCheck
26.0174,21,179,1,2.06176,0.321889,2.30259,0,PostCheck
27.3252,109,191,1,1.7383,0.345119,2.30259,0,PostCheck
30.0137,30,255,1,1.78653,0.339911,2.30259,0,PostCheck
30.0424,29,144,2,2.87411,0.653432,2.30259,0,PostCheck
30.4202,237,323,1,1.69475,0.215032,2.30259,0,PostCheck
31.5265,165,385,1,2.04547,0.373002,2.30259,0,PostCheck
32.0377,4,144,2,2.90109,0.564324,2.30259,0,PostCheck
32.7067,140,150,1,1.87349,0.327939,2.30259,0,PostCheck
33.2069,216,17,1,36.2747,0.333985,2.30259,0,PostCheck
33.3061,287,196,1,29.6834,0.357853,2.30259,0,PostCheck
33.5164,53,396,1,1.69713,0.2233,2.30259,0,PostCheck
37.6072,314,382,1,6.38361,0.160837,2.30259,0,PostCheck
37.7291,128,23,1,1.81098,0.16323,2.30259,0,PostCheck
37.9412,170,347,1,1.82309,0.353816,2.30259,0,PostCheck
39.1412,12,275,1,1.86259,0.131925,2.30259,0,PostCheck
39.2333,38,471,1,1.80053,0.315218,2.30259,0,PostCheck
39.3175,188,524,1,2.29141,0.306684,2.30259,0,PostCheck
42.0246,342,354,1,1.92019,0.112579,2.30259,0,PostCheck
44.8127,315,181,3,3.93204,0.979792,2.30259,0,PostCheck
45.4479,264,65,1,1.80985,0.319608,2.30259,0,PostCheck
45.9278,226,196,1,1.67558,0.336105,2.30259,0,PostCheck
47.5255,179,567,1,2.14602,0.218542,2.30259,0,PostCheck
48.3145,372,494,1,1.68295,0.0944876,2.30259,0,PostCheck
49.2435,344,238,1,1.86752,0.332525,2.30259,0,PostCheck
49.7347,108,124,1,1.68671,0.330451,2.30259,0,PostCheck
