simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
12.8325,9,76,3,3.80427,1.11908,2.30259,0,RLPolicy
13.1411,12,32,1,1.69339,0.25865,2.30259,0,RLPolicy
16.0183,21,133,2,2.94895,0.651114,2.30259,0,RLPolicy
16.3459,32,66,3,4.05615,0.845882,2.30259,0,RLPolicy
17.7438,27,22,3,3.94571,0.891108,2.30259,0,RLPolicy
18.3454,32,126,3,3.57908,1.05426,2.30259,0,RLPolicy
18.8305,9,96,1,1.80151,0.349537,2.30259,0,RLPolicy
19.1412,12,66,1,1.84726,0.346727,2.30259,0,RLPolicy
19.5175,53,150,2,2.77145,0.679152,2.30259,0,RLPolicy
20.021,24,149,3,3.90263,0.822818,2.30259,0,RLPolicy
20.2457,70,73,3,3.91932,0.928264,2.30259,0,RLPolicy
20.3461,32,126,3,4.24267,0.826774,2.30259,0,RLPolicy
20.8307,9,15,1,2.0618,0.193965,2.30259,0,RLPolicy
21.5254,44,203,2,2.75842,0.713282,2.30259,0,RLPolicy
23.2354,38,75,3,3.92345,0.597085,2.30259,0,RLPolicy
23.549,91,21,1,2.05182,0.328584,2.30259,0,RLPolicy
23.7425,27,74,2,2.61872,0.360656,2.30259,0,RLPolicy
24.0232,10,75,3,4.09735,1.08691,2.30259,0,RLPolicy
25.225,112,291,2,3.13883,0.567303,2.30259,0,RLPolicy
25.32,86,7,1,1.67775,0.16167,2.30259,0,RLPolicy
25.5265,44,46,3,3.88316,0.848128,2.30259,0,RLPolicy
25.7372,146,219,3,3.8289,0.66024,2.30259,0,RLPolicy
26.3449,32,66,2,3.08302,0.714569,2.30259,0,RLPolicy
26.5133,131,91,3,3.69772,1.05059,2.30259,0,RLPolicy
26.8324,9,361,3,3.78439,0.868106,2.30259,0,RLPolicy
27.1425,12,365,2,3.13608,0.472933,2.30259,0,RLPolicy
27.518,93,370,3,3.6548,0.892811,2.30259,0,RLPolicy
27.8237,98,316,2,3.02529,0.706119,2.30259,0,RLPolicy
28.2316,168,126,2,3.25606,0.562713,2.30259,0,RLPolicy
28.6201,100,370,3,4.03862,0.845374,2.30259,0,RLPolicy
28.8095,133,323,1,1.72161,0.118465,2.30259,0,RLPolicy
29.2462,50,199,3,4.18387,1.00254,2.30259,0,RLPolicy
29.5081,99,140,2,9.03462,0.375087,2.30259,0,RLPolicy
29.5215,113,7,1,1.94254,0.334158,2.30259,0,RLPolicy
30.0088,69,172,3,27.3868,0.891644,2.30259,0,RLPolicy
30.0191,21,91,3,3.73757,0.679706,2.30259,0,RLPolicy
30.0315,2,84,3,4.15796,0.906098,2.30259,0,RLPolicy
30.4223,169,13,1,1.87251,0.22515,2.30259,0,RLPolicy
30.5134,131,343,3,3.85814,0.728193,2.30259,0,RLPolicy
30.5421,142,172,3,3.92021,0.499981,2.30259,0,RLPolicy
30.8107,133,403,2,2.98968,0.662209,2.30259,0,RLPolicy
31.2249,112,365,2,3.11918,0.421882,2.30259,0,RLPolicy
31.6368,167,427,2,3.14344,0.681665,2.30259,0,RLPolicy
31.7372,146,424,3,3.91568,0.859456,2.30259,0,RLPolicy
