simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
12.8325,9,76,3,3.80427,1.11908,2.30259,0,RLPolicy
13.1411,12,32,1,1.69339,0.25865,2.30259,0,RLPolicy
16.0183,21,133,2,2.94895,0.651114,2.30259,0,RLPolicy
16.3459,32,66,3,4.05615,0.845882,2.30259,0,RLPolicy
17.7438,27,22,3,3.94571,0.891108,2.30259,0,RLPolicy
18.3454,32,126,3,3.57908,1.05426,2.30259,0,RLPolicy
18.8305,9,96,1,1.80151,0.349537,2.30259,0,RLPolicy
19.1079,3,211,2,47.9952,0.614875,2.30259,0,RLPolicy
19.5322,0,216,1,1.81111,0.346956,2.30259,0,RLPolicy
20.019,21,39,3,3.72954,0.944117,2.30259,0,RLPolicy
20.1225,57,200,1,1.83832,0.34324,2.30259,0,RLPolicy
20.5175,78,157,2,2.73419,0.69138,2.30259,0,RLPolicy
20.9127,80,224,2,3.01707,0.655019,2.30259,0,RLPolicy
21.5322,0,216,1,1.83141,0.328039,2.30259,0,RLPolicy
22.3333,77,181,3,4.42804,0.809683,2.30259,0,RLPolicy
22.6179,100,47,1,1.79947,0.422231,2.30259,0,RLPolicy
22.9116,80,299,1,1.92629,0.22177,2.30259,0,RLPolicy
23.1194,43,151,4,5.86945,1.19118,2.30259,0,RLPolicy
23.4294,67,257,3,3.83323,0.955014,2.30259,0,RLPolicy
23.5164,53,203,1,1.69701,0.223727,2.30259,0,RLPolicy
23.5214,113,21,1,1.80824,0.3357,2.30259,0,RLPolicy
23.5256,44,243,2,2.98083,0.456537,2.30259,0,RLPolicy
23.55,91,136,2,3.0127,0.352902,2.30259,0,RLPolicy
24.3318,77,315,2,2.97873,0.423686,2.30259,0,RLPolicy
24.5185,78,44,3,3.70331,0.91843,2.30259,0,RLPolicy
25.2086,105,102,3,3.89918,0.665705,2.30259,0,RLPolicy
25.2248,112,13,2,3.00933,0.524039,2.30259,0,RLPolicy
25.3251,109,140,1,1.67704,0.338086,2.30259,0,RLPolicy
25.516,93,61,1,1.7182,0.352563,2.30259,0,RLPolicy
25.5243,44,47,1,1.67955,0.342175,2.30259,0,RLPolicy
26.0192,21,7,3,3.90374,0.813224,2.30259,0,RLPolicy
26.4234,169,171,2,2.88871,0.578972,2.30259,0,RLPolicy
27.3066,130,329,1,56.2153,0.170462,2.30259,0,RLPolicy
27.5188,53,108,3,4.06091,0.796845,2.30259,0,RLPolicy
27.5213,113,7,1,1.6856,0.35866,2.30259,0,RLPolicy
27.6076,172,13,2,11.083,0.688625,2.30259,0,RLPolicy
27.736,108,162,2,2.98871,0.406144,2.30259,0,RLPolicy
27.8242,184,297,2,2.80909,0.471729,2.30259,0,RLPolicy
28.0184,21,248,2,3.05057,0.368001,2.30259,0,RLPolicy
28.3207,104,371,3,4.12159,1.07256,2.30259,0,RLPolicy
28.8077,211,204,2,45.0564,0.558249,2.30259,0,RLPolicy
29.0075,179,372,3,58.4763,0.573871,2.30259,0,RLPolicy
29.1188,43,359,4,5.23721,0.8518,2.30259,0,RLPolicy
29.8349,201,378,1,1.93285,0.346693,2.30259,0,RLPolicy
30.1245,57,227,3,3.82239,1.09245,2.30259,0,RLPolicy
30.2362,187,337,2,2.86005,0.506723,2.30259,0,RLPolicy
30.5192,224,10,2,2.74953,0.706675,2.30259,0,RLPolicy
30.5427,142,69,3,4.55008,0.653061,2.30259,0,RLPolicy
30.7114,15,113,3,3.79122,0.672395,2.30259,0,RLPolicy
30.8165,14,77,2,3.36816,0.618431,2.30259,0,RLPolicy
31.0314,195,91,3,4.31283,0.618949,2.30259,0,RLPolicy
31.2464,50,343,3,4.33363,0.47906,2.30259,0,RLPolicy
31.4299,260,132,3,3.93933,0.993933,2.30259,0,RLPolicy
31.8145,247,243,1,1.86108,0.349845,2.30259,0,RLPolicy
32.0197,21,328,3,4.41854,0.336364,2.30259,0,RLPolicy
32.024,10,298,3,4.95523,0.737247,2.30259,0,RLPolicy
32.1328,248,328,3,4.56991,0.309149,2.30259,0,RLPolicy
32.4249,169,441,3,4.40448,0.511489,2.30259,0,RLPolicy
32.5188,78,44,3,4.05093,0.80307,2.30259,0,RLPolicy
32.5233,290,327,3,4.85708,0.837774,2.30259,0,RLPolicy
32.8104,133,7,2,2.65125,0.481978,2.30259,0,RLPolicy
32.8189,16,286,3,3.9778,0.572904,2.30259,0,RLPolicy
33.3143,132,322,2,3.02812,0.614484,2.30259,0,RLPolicy
33.3233,271,241,3,4.186,0.707052,2.30259,0,RLPolicy
33.3302,295,315,3,3.81268,0.513278,2.30259,0,RLPolicy
33.4299,260,180,3,4.02068,0.913654,2.30259,0,RLPolicy
33.5235,113,133,3,3.92898,0.432036,2.30259,0,RLPolicy
33.6087,172,462,2,12.2494,0.22144,2.30259,0,RLPolicy
33.9224,155,334,2,2.7303,0.412217,2.30259,0,RLPolicy
34.0494,293,72,3,4.96245,0.840503,2.30259,0,RLPolicy
34.2322,168,340,3,3.78508,0.824921,2.30259,0,RLPolicy
34.2461,70,126,3,4.32355,0.773313,2.30259,0,RLPolicy
34.5207,224,370,3,4.16515,0.447166,2.30259,0,RLPolicy
34.524,162,286,2,3.63741,0.427497,2.30259,0,RLPolicy
34.6422,95,158,3,4.28569,0.704847,2.30259,0,RLPolicy
35.3117,314,308,3,4.17775,0.694892,2.30259,0,RLPolicy
35.3299,295,196,3,3.59405,0.582136,2.30259,0,RLPolicy
35.9153,276,149,3,4.0597,0.389976,2.30259,0,RLPolicy
36.1289,262,157,2,2.95947,0.455571,2.30259,0,RLPolicy
36.33,23,312,4,5.48313,0.717482,2.30259,0,RLPolicy
37.04,116,219,3,4.22526,0.797933,2.30259,0,RLPolicy
37.044,305,481,3,4.00036,0.450748,2.30259,0,RLPolicy
37.1426,12,126,2,3.25445,0.588786,2.30259,0,RLPolicy
37.2257,112,13,3,3.90072,0.667615,2.30259,0,RLPolicy
37.3116,314,481,3,4.12884,0.352959,2.30259,0,RLPolicy
37.3301,295,200,3,3.79642,0.445412,2.30259,0,RLPolicy
37.4285,67,520,2,2.97217,0.416913,2.30259,0,RLPolicy
37.8157,247,151,2,3.07264,0.463816,2.30259,0,RLPolicy
38.0088,129,522,2,2.99276,0.237696,2.30259,0,RLPolicy
38.5243,162,105,3,4.00349,0.53892,2.30259,0,RLPolicy
38.6351,97,538,2,2.75409,0.18233,2.30259,0,RLPolicy
38.6492,249,176,1,2.29126,0.363057,2.30259,0,RLPolicy
38.8267,185,222,2,3.00384,0.292995,2.30259,0,RLPolicy
39.2375,350,411,2,4.04926,0.685472,2.30259,0,RLPolicy
39.4272,67,21,1,1.68961,0.104736,2.30259,0,RLPolicy
39.524,113,439,3,4.42326,0.474796,2.30259,0,RLPolicy
39.5322,0,216,1,1.83965,0.161917,2.30259,0,RLPolicy
39.6219,351,412,2,2.7043,0.520909,2.30259,0,RLPolicy
40.6204,100,401,3,4.30971,0.281269,2.30259,0,RLPolicy
40.6338,200,105,3,4.63056,0.529004,2.30259,0,RLPolicy
41.2251,112,463,2,3.24109,0.676904,2.30259,0,RLPolicy
41.2395,219,132,3,3.92442,0.736776,2.30259,0,RLPolicy
41.3148,338,458,3,3.98121,0.392625,2.30259,0,RLPolicy
41.318,434,211,2,3.2469,0.317496,2.30259,0,RLPolicy
41.5167,53,265,1,1.93441,0.128135,2.30259,0,RLPolicy
41.5228,113,314,2,3.25913,0.172022,2.30259,0,RLPolicy
41.5349,0,449,3,4.53358,0.46845,2.30259,0,RLPolicy
41.5479,390,177,2,2.88575,0.334582,2.30259,0,RLPolicy
41.7105,236,5,3,4.16562,0.715507,2.30259,0,RLPolicy
41.8234,184,532,1,2.02283,0.341423,2.30259,0,RLPolicy
41.8361,201,520,2,3.1722,0.357985,2.30259,0,RLPolicy
42.0099,129,256,3,4.05056,0.645587,2.30259,0,RLPolicy
42.0144,205,415,2,4.54133,0.2879,2.30259,0,RLPolicy
42.1245,57,176,3,3.82423,0.841356,2.30259,0,RLPolicy
42.233,397,384,3,4.94795,0.671667,2.30259,0,RLPolicy
42.3092,163,263,3,56.8708,0.582924,2.30259,0,RLPolicy
42.4087,263,449,3,35.1703,0.431414,2.30259,0,RLPolicy
42.8265,185,47,2,2.74113,0.317858,2.30259,0,RLPolicy
42.9324,415,582,2,3.25493,0.443221,2.30259,0,RLPolicy
43.3193,434,75,3,4.52194,0.509561,2.30259,0,RLPolicy
43.7372,108,479,3,4.17897,0.643777,2.30259,0,RLPolicy
43.9123,335,36,3,4.76591,0.436004,2.30259,0,RLPolicy
44.038,4,252,2,3.14819,0.469762,2.30259,0,RLPolicy
44.0457,203,402,1,2.50036,0.111226,2.30259,0,RLPolicy
44.2209,291,126,2,3.12612,0.367295,2.30259,0,RLPolicy
44.3464,32,568,3,4.56164,0.500229,2.30259,0,RLPolicy
44.4249,169,481,3,4.39897,0.542693,2.30259,0,RLPolicy
44.4502,128,74,2,3.1114,0.188666,2.30259,0,RLPolicy
44.5462,330,308,1,1.93738,0.137501,2.30259,0,RLPolicy
44.6208,292,535,2,3.29164,0.475405,2.30259,0,RLPolicy
44.9341,415,541,3,4.9265,0.314829,2.30259,0,RLPolicy
45.2102,107,328,3,3.88258,0.311586,2.30259,0,RLPolicy
45.2252,112,63,2,3.35863,0.440642,2.30259,0,RLPolicy
45.3157,49,140,3,4.10786,1.01941,2.30259,0,RLPolicy
45.3215,68,265,3,4.56113,0.681715,2.30259,0,RLPolicy
45.3268,109,56,2,3.37014,0.244806,2.30259,0,RLPolicy
45.5171,93,312,2,2.77271,0.222074,2.30259,0,RLPolicy
45.5488,390,239,3,3.78081,0.758972,2.30259,0,RLPolicy
45.8096,433,201,3,4.28051,0.27526,2.30259,0,RLPolicy
45.9109,335,480,2,3.37915,0.369203,2.30259,0,RLPolicy
45.9233,155,396,3,3.59859,0.613566,2.30259,0,RLPolicy
46.4236,169,420,2,3.0926,0.226043,2.30259,0,RLPolicy
46.5315,429,346,1,1.81101,0.338176,2.30259,0,RLPolicy
46.5423,142,509,3,4.08841,0.314577,2.30259,0,RLPolicy
46.714,36,261,3,3.94754,0.446781,2.30259,0,RLPolicy
46.7301,471,497,3,3.91251,0.395039,2.30259,0,RLPolicy
47.0195,273,98,2,2.98829,0.200442,2.30259,0,RLPolicy
47.0356,422,410,3,4.19512,1.0269,2.30259,0,RLPolicy
47.6447,468,498,3,4.54401,0.480497,2.30259,0,RLPolicy
47.7364,360,539,2,2.7309,0.563053,2.30259,0,RLPolicy
47.8238,364,219,3,5.89937,0.342369,2.30259,0,RLPolicy
47.8297,311,376,3,4.38268,0.299576,2.30259,0,RLPolicy
47.8446,223,563,3,4.02165,0.361302,2.30259,0,RLPolicy
48.0225,24,498,4,5.38594,0.41541,2.30259,0,RLPolicy
48.2282,513,426,2,2.86688,0.551663,2.30259,0,RLPolicy
48.7292,471,343,2,3.00932,0.195778,2.30259,0,RLPolicy
49.039,116,489,2,3.1851,0.258683,2.30259,0,RLPolicy
49.3235,271,622,3,4.37994,0.472004,2.30259,0,RLPolicy
49.5392,124,471,3,4.27402,0.357405,2.30259,0,RLPolicy
49.5465,510,462,2,2.76411,0.214294,2.30259,0,RLPolicy
49.9487,435,5,3,4.54715,0.864338,2.30259,0,RLPolicy
