configName,simTime,src,dst,policyMode,reachable,feasible,totalDelay,totalTrustCost,budget,hops,computeTimeMs,pipMasked,pipCandidates,pipDijkstraMs,pipNodesExpanded,lambda
Ch6-OV-G4-GNN-Full,11.06,3,86,RLPolicy,1,0,0.00602545,2.54959,2.30259,7,0.235692,34,40,0.151862,45,1.00124
Ch6-OV-G4-GNN-Full,11.3471,1,71,RLPolicy,0,0,0.00356715,2.46721,2.30259,5,0.21177,6,10,0.183207,4,1
Ch6-OV-G4-GNN-Full,11.5304,0,90,RLPolicy,0,0,0.0226667,12.9468,2.30259,21,0.296303,151,171,0.216177,56,1
Ch6-OV-G4-GNN-Full,11.8236,5,90,RLPolicy,0,0,0.0227675,12.9468,2.30259,21,0.305917,164,184,0.220371,1,1
Ch6-OV-G4-GNN-Full,12.0273,2,90,RLPolicy,0,0,0.0227726,12.9468,2.30259,21,0.362683,173,193,0.272016,60,1
Ch6-OV-G4-GNN-Full,12.0348,4,90,RLPolicy,0,0,0.0226957,12.9468,2.30259,21,0.288849,173,193,0.211395,5,1
Ch6-OV-G4-GNN-Full,12.5044,6,117,RLPolicy,0,0,0.0227093,12.6414,2.30259,21,0.310174,135,155,0.230583,30,1
Ch6-OV-G4-GNN-Full,12.8287,9,76,RLPolicy,1,1,0.00360464,2.07944,2.30259,5,0.504182,43,48,0.430043,71,0.998884
Ch6-OV-G4-GNN-Full,13.06,3,86,RLPolicy,1,0,0.00487223,2.46721,2.30259,6,0.389991,39,44,0.304519,71,1.00206
Ch6-OV-G4-GNN-Full,13.1394,12,32,RLPolicy,1,1,0.00120205,0.693147,2.30259,3,3.59929,0,22,3.51366,71,0.991953
Ch6-OV-G4-GNN-Full,13.3471,1,71,RLPolicy,0,0,0.00357787,2.46721,2.30259,5,0.262754,6,10,0.245014,73,1
Ch6-OV-G4-GNN-Full,13.3654,7,43,RLPolicy,0,0,0.0226873,13.0061,2.30259,21,0.404854,221,241,0.31209,33,1
Ch6-OV-G4-GNN-Full,13.3911,8,47,RLPolicy,0,0,0.0227355,12.6414,2.30259,21,0.465356,194,214,0.336992,6,1
Ch6-OV-G4-GNN-Full,13.5304,0,90,RLPolicy,0,0,0.0227099,12.9468,2.30259,21,0.266279,199,219,0.199368,80,1
Ch6-OV-G4-GNN-Full,13.7018,11,54,RLPolicy,0,0,0.00118494,1.38629,2.30259,3,0.288713,1,3,0.265279,34,1
Ch6-OV-G4-GNN-Full,13.8236,5,100,RLPolicy,0,0,0.0227818,12.9468,2.30259,21,0.310802,196,216,0.234267,2,1
Ch6-OV-G4-GNN-Full,14.0191,10,71,RLPolicy,0,0,0.00360651,2.46721,2.30259,5,0.467977,6,10,0.430326,85,1
Ch6-OV-G4-GNN-Full,14.0273,2,90,RLPolicy,0,0,0.0227768,12.9468,2.30259,21,0.289808,229,249,0.21301,3,1
Ch6-OV-G4-GNN-Full,14.0348,4,90,RLPolicy,0,0,0.0227419,12.9468,2.30259,21,0.26551,229,249,0.206689,85,1
Ch6-OV-G4-GNN-Full,14.4809,18,90,RLPolicy,0,0,0.0227447,12.5184,2.30259,21,2.32927,238,258,2.16412,87,1
Ch6-OV-G4-GNN-Full,14.5044,6,13,RLPolicy,1,1,0.00360602,1.77406,2.30259,5,0.371538,28,41,0.2557,87,0.997357
Ch6-OV-G4-GNN-Full,14.6026,13,19,RLPolicy,1,1,0.00357453,1.77406,2.30259,5,0.52213,22,36,0.423942,87,0.997357
Ch6-OV-G4-GNN-Full,14.7076,15,19,RLPolicy,1,0,0.0060103,2.85497,2.30259,7,0.475415,66,72,0.36537,88,1.00276
Ch6-OV-G4-GNN-Full,14.8131,14,132,RLPolicy,0,0,0.00118489,1.38629,2.30259,3,0.410189,1,3,0.385213,90,1
Ch6-OV-G4-GNN-Full,14.8149,16,90,RLPolicy,0,0,0.0227682,12.5184,2.30259,21,0.686582,256,276,0.56871,90,1
Ch6-OV-G4-GNN-Full,14.8287,9,50,RLPolicy,1,1,0.00484046,1.77406,2.30259,5,0.417469,44,53,0.293859,90,0.996242
Ch6-OV-G4-GNN-Full,15.0587,20,69,RLPolicy,0,0,0.0227228,12.5184,2.30259,21,0.560289,263,283,0.433257,4,1
Ch6-OV-G4-GNN-Full,15.06,3,15,RLPolicy,1,0,0.00603823,2.85497,2.30259,7,0.658401,74,80,0.462863,93,1.00482
Ch6-OV-G4-GNN-Full,15.0602,19,51,RLPolicy,1,0,0.00603483,3.16035,2.30259,7,0.679059,74,80,0.438382,93,1.00429
Ch6-OV-G4-GNN-Full,15.1394,12,52,RLPolicy,0,0,0.0226767,13.9222,2.30259,21,0.350494,297,317,0.257114,45,0.991953
Ch6-OV-G4-GNN-Full,15.3471,1,71,RLPolicy,0,0,0.00360818,2.46721,2.30259,5,0.440867,4,8,0.407184,47,1
Ch6-OV-G4-GNN-Full,15.3654,7,43,RLPolicy,0,0,0.0226787,13.0061,2.30259,21,0.380568,281,301,0.286296,47,1
Ch6-OV-G4-GNN-Full,15.3911,8,16,RLPolicy,0,0,0.0227576,12.6414,2.30259,21,0.460329,297,317,0.369628,97,1
Ch6-OV-G4-GNN-Full,15.416,17,90,RLPolicy,0,0,0.0227543,12.5184,2.30259,21,0.897699,300,320,0.695041,97,1
Ch6-OV-G4-GNN-Full,15.5304,0,90,RLPolicy,0,0,0.0227319,12.9468,2.30259,21,0.761086,300,320,0.611495,97,1
Ch6-OV-G4-GNN-Full,15.7018,11,143,RLPolicy,0,0,0.00236895,2.07944,2.30259,4,0.354489,3,6,0.335511,103,1
Ch6-OV-G4-GNN-Full,15.7398,27,97,RLPolicy,0,0,0.0227266,12.8237,2.30259,21,0.598453,307,327,0.458606,3,1
Ch6-OV-G4-GNN-Full,15.8236,5,142,RLPolicy,0,0,0.0227419,12.9468,2.30259,21,0.613552,304,324,0.484572,104,1
Ch6-OV-G4-GNN-Full,15.8562,22,105,RLPolicy,1,0,0.00558655,2.46721,2.30259,6,0.666598,87,92,0.487948,104,1.00082
Ch6-OV-G4-GNN-Full,16.0119,30,121,RLPolicy,0,0,0.0155368,9.39868,2.30259,15,0.485819,67,81,0.404158,50,1
Ch6-OV-G4-GNN-Full,16.0153,21,97,RLPolicy,0,0,0.022732,12.8237,2.30259,21,0.850731,313,333,0.624604,50,1
Ch6-OV-G4-GNN-Full,16.0171,24,121,RLPolicy,0,0,0.0155368,9.39868,2.30259,15,0.612486,67,81,0.517612,50,1
Ch6-OV-G4-GNN-Full,16.0191,10,71,RLPolicy,0,0,0.00357118,2.46721,2.30259,5,0.933658,7,11,0.716945,104,1
Ch6-OV-G4-GNN-Full,16.0273,2,142,RLPolicy,0,0,0.0227431,12.9468,2.30259,21,0.556646,306,326,0.455337,3,1
Ch6-OV-G4-GNN-Full,16.0348,4,90,RLPolicy,0,0,0.0227491,12.9468,2.30259,21,0.565298,306,326,0.451082,104,1
Ch6-OV-G4-GNN-Full,16.0396,29,47,RLPolicy,0,0,0.0227291,12.5184,2.30259,21,0.78776,304,324,0.564232,104,1
Ch6-OV-G4-GNN-Full,16.1834,31,28,RLPolicy,1,1,0.00240512,0.693147,2.30259,3,1.31176,0,50,1.17336,50,0.991953
Ch6-OV-G4-GNN-Full,16.2109,33,90,RLPolicy,0,0,0.0227369,12.8237,2.30259,21,0.680938,306,326,0.536831,106,1
Ch6-OV-G4-GNN-Full,16.3245,23,152,RLPolicy,1,0,0.00847521,3.54812,2.30259,8,0.840857,88,95,0.703079,107,1.00623
Ch6-OV-G4-GNN-Full,16.3419,32,74,RLPolicy,0,0,0.0227132,13.1291,2.30259,21,0.632273,242,262,0.452024,50,1
Ch6-OV-G4-GNN-Full,16.3441,37,71,RLPolicy,0,0,0.00358393,2.95491,2.30259,5,0.557589,7,11,0.514004,107,1
Ch6-OV-G4-GNN-Full,16.4532,28,90,RLPolicy,0,0,0.0227668,12.3642,2.30259,21,0.768047,316,336,0.580828,109,1
Ch6-OV-G4-GNN-Full,16.4809,18,90,RLPolicy,0,0,0.0226894,12.5184,2.30259,21,0.510841,316,336,0.419556,109,1
Ch6-OV-G4-GNN-Full,16.5044,6,102,RLPolicy,0,0,0.0227062,13.6168,2.30259,21,0.473256,326,346,0.364974,2,0.997357
Ch6-OV-G4-GNN-Full,16.6026,13,156,RLPolicy,1,1,0.00241128,1.38629,2.30259,4,0.506276,14,53,0.397492,111,0.992776
Ch6-OV-G4-GNN-Full,16.7076,15,19,RLPolicy,1,0,0.00604598,2.85497,2.30259,7,0.705002,86,92,0.503892,112,1.00552
Ch6-OV-G4-GNN-Full,16.71,36,73,RLPolicy,1,0,0.00484002,2.46721,2.30259,6,0.957137,95,100,0.766949,112,1.00082
Ch6-OV-G4-GNN-Full,16.8131,14,132,RLPolicy,0,0,0.00236884,2.07944,2.30259,4,0.468828,3,6,0.439532,112,1
Ch6-OV-G4-GNN-Full,16.8149,16,188,RLPolicy,0,0,0.0227409,12.8237,2.30259,21,0.459326,304,324,0.366727,112,1
Ch6-OV-G4-GNN-Full,16.8287,9,95,RLPolicy,1,1,0.00558483,2.16183,2.30259,6,1.07946,81,89,0.890633,112,0.995538
Ch6-OV-G4-GNN-Full,16.8439,26,11,RLPolicy,0,0,0.00237076,2.07944,2.30259,4,0.639079,3,6,0.601618,112,1
Ch6-OV-G4-GNN-Full,17.0587,20,121,RLPolicy,0,0,0.0203202,10.8674,2.30259,18,0.515106,299,316,0.385459,59,1
Ch6-OV-G4-GNN-Full,17.06,3,137,RLPolicy,1,1,0.00484638,2.16183,2.30259,6,0.57395,74,83,0.427413,115,1.00412
Ch6-OV-G4-GNN-Full,17.0602,19,15,RLPolicy,1,0,0.00601529,2.85497,2.30259,7,0.629078,103,109,0.473201,115,1.00705
Ch6-OV-G4-GNN-Full,17.1394,12,121,RLPolicy,0,0,0.0107516,6.32071,2.30259,11,0.80547,124,134,0.60203,59,0.991953
Ch6-OV-G4-GNN-Full,17.1626,25,121,RLPolicy,0,0,0.0191295,10.8674,2.30259,18,0.698391,299,316,0.56602,59,1
Ch6-OV-G4-GNN-Full,17.2315,38,121,RLPolicy,0,0,0.0155107,8.70553,2.30259,14,0.899446,174,187,0.74104,59,1
Ch6-OV-G4-GNN-Full,17.2636,39,121,RLPolicy,0,0,0.00596352,3.8535,2.30259,7,0.620207,61,67,0.536082,59,1
